inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,facingDirection,reward
PRINT_POSITION,9,10,0,9,False,False,NIL,0,DOWN,0
DOWN,9,11,0,9,False,False,DOWN,1,DOWN,0
PRINT_POSITION,9,11,0,9,False,False,NIL,1,DOWN,0.95
RIGHT,10,11,0,9,False,False,RIGHT,2,RIGHT,0.95
PRINT_POSITION,10,11,0,9,False,False,NIL,2,RIGHT,1.9
UP,10,10,0,9,False,False,UP,3,UP,1.9
PRINT_POSITION,10,10,0,9,False,False,NIL,3,UP,2.85
RIGHT,11,10,0,9,False,False,RIGHT,4,RIGHT,2.85
PRINT_POSITION,11,10,0,9,False,False,NIL,4,RIGHT,3.8000000000000003
UP,11,9,0,9,False,False,UP,5,UP,3.8000000000000003
PRINT_POSITION,11,9,0,9,False,False,NIL,5,UP,4.750000000000001
A,11,9,0,9,False,False,A,6,UP,4.750000000000001
PRINT_POSITION,11,9,0,9,False,False,NIL,6,UP,4.700000000000001
A,11,9,0,9,False,False,A,7,UP,4.700000000000001
PRINT_POSITION,11,9,0,9,False,False,NIL,7,UP,4.650000000000001
A,11,9,0,9,False,False,A,8,UP,4.650000000000001
PRINT_POSITION,11,9,0,9,False,False,NIL,8,UP,4.600000000000001
A,11,9,0,9,False,False,A,9,UP,4.600000000000001
PRINT_POSITION,11,9,0,9,False,False,NIL,9,UP,4.550000000000002
A,11,9,0,9,False,False,A,10,UP,4.550000000000002
PRINT_POSITION,11,9,0,9,False,False,NIL,10,UP,4.500000000000002
A,11,9,0,9,False,False,A,11,UP,4.500000000000002
PRINT_POSITION,11,9,0,9,False,False,NIL,11,UP,4.450000000000002
A,11,9,0,9,False,False,A,12,UP,4.450000000000002
PRINT_POSITION,11,9,0,9,False,False,NIL,12,UP,4.400000000000002
A,11,9,0,9,False,False,A,13,UP,4.400000000000002
PRINT_POSITION,11,9,0,9,False,False,NIL,13,UP,4.350000000000002
A,11,9,0,9,False,False,A,14,UP,4.350000000000002
PRINT_POSITION,11,9,0,9,False,False,NIL,14,UP,4.3000000000000025
A,11,9,0,9,False,False,A,15,UP,4.3000000000000025
PRINT_POSITION,11,9,0,9,False,False,NIL,15,UP,4.250000000000003
A,11,9,0,9,False,False,A,16,UP,4.250000000000003
PRINT_POSITION,11,9,0,9,False,False,NIL,16,UP,4.200000000000003
A,11,9,0,9,False,False,A,17,UP,4.200000000000003
PRINT_POSITION,11,9,0,9,False,False,NIL,17,UP,4.150000000000003
A,11,9,0,9,False,False,A,18,UP,4.150000000000003
PRINT_POSITION,11,9,0,9,False,False,NIL,18,UP,4.100000000000003
A,11,9,0,9,False,False,A,19,UP,4.100000000000003
PRINT_POSITION,11,9,0,9,False,False,NIL,19,UP,4.050000000000003
A,11,9,0,9,False,False,A,20,UP,4.050000000000003
PRINT_POSITION,11,9,0,9,False,False,NIL,20,UP,4.0000000000000036
A,11,9,0,9,False,False,A,21,UP,4.0000000000000036
PRINT_POSITION,11,9,0,9,False,False,NIL,21,UP,3.9500000000000037
B,11,9,0,9,False,False,B,22,UP,3.9500000000000037
PRINT_POSITION,11,9,0,9,False,False,NIL,22,UP,3.900000000000004
A,11,9,0,9,False,False,A,23,UP,3.900000000000004
PRINT_POSITION,11,9,0,9,False,False,NIL,23,UP,3.850000000000004
A,11,9,0,9,False,False,A,24,UP,3.850000000000004
PRINT_POSITION,11,9,0,9,False,False,NIL,24,UP,3.8000000000000043
A,11,9,0,9,False,False,A,25,UP,3.8000000000000043
PRINT_POSITION,11,9,0,9,False,False,NIL,25,UP,3.7500000000000044
A,11,9,0,9,False,False,A,26,UP,3.7500000000000044
PRINT_POSITION,11,9,0,9,False,False,NIL,26,UP,3.7000000000000046
DOWN,11,10,0,9,False,False,DOWN,27,DOWN,3.7000000000000046
PRINT_POSITION,11,10,0,9,False,False,NIL,27,DOWN,3.650000000000005
UP,11,9,0,9,False,False,UP,28,UP,3.650000000000005
PRINT_POSITION,11,9,0,9,False,False,NIL,28,UP,3.600000000000005
A,11,9,0,9,False,False,A,29,UP,3.600000000000005
PRINT_POSITION,11,9,0,9,False,False,NIL,29,UP,3.550000000000005
A,11,9,0,9,False,False,A,30,UP,3.550000000000005
PRINT_POSITION,11,9,0,9,False,False,NIL,30,UP,3.5000000000000053
A,11,9,0,9,False,False,A,31,UP,3.5000000000000053
PRINT_POSITION,11,9,0,9,False,False,NIL,31,UP,3.4500000000000055
A,11,9,0,9,False,False,A,32,UP,3.4500000000000055
PRINT_POSITION,11,9,0,9,False,False,NIL,32,UP,3.4000000000000057
A,11,9,0,9,False,False,A,33,UP,3.4000000000000057
PRINT_POSITION,11,9,0,9,False,False,NIL,33,UP,3.350000000000006
A,11,9,0,9,False,False,A,34,UP,3.350000000000006
PRINT_POSITION,11,9,0,9,False,False,NIL,34,UP,3.300000000000006
A,11,9,0,9,False,False,A,35,UP,3.300000000000006
PRINT_POSITION,11,9,0,9,False,False,NIL,35,UP,3.250000000000006
A,11,9,0,9,False,False,A,36,UP,3.250000000000006
PRINT_POSITION,11,9,0,9,False,False,NIL,36,UP,3.2000000000000064
A,11,9,0,9,False,False,A,37,UP,3.2000000000000064
PRINT_POSITION,11,9,0,9,False,False,NIL,37,UP,3.1500000000000066
A,11,9,0,9,False,False,A,38,UP,3.1500000000000066
PRINT_POSITION,11,9,0,9,False,False,NIL,38,UP,3.1000000000000068
A,11,9,0,9,False,False,A,39,UP,3.1000000000000068
PRINT_POSITION,11,9,0,9,False,False,NIL,39,UP,3.050000000000007
UP,11,8,0,9,False,False,UP,40,UP,3.050000000000007
PRINT_POSITION,11,8,0,9,False,False,NIL,40,UP,4.000000000000007
UP,11,7,0,9,False,False,UP,41,UP,4.000000000000007
PRINT_POSITION,11,7,0,9,False,False,NIL,41,UP,4.950000000000007
RIGHT,12,7,0,9,False,False,RIGHT,42,RIGHT,4.950000000000007
PRINT_POSITION,12,7,0,9,False,False,NIL,42,RIGHT,5.9000000000000075
A,12,7,0,9,False,False,A,43,RIGHT,5.9000000000000075
PRINT_POSITION,12,7,0,9,False,False,NIL,43,RIGHT,5.850000000000008
A,12,7,0,9,False,False,A,44,RIGHT,5.850000000000008
PRINT_POSITION,12,7,0,9,False,False,NIL,44,RIGHT,5.800000000000008
A,12,7,0,9,False,False,A,45,RIGHT,5.800000000000008
PRINT_POSITION,12,7,0,9,False,False,NIL,45,RIGHT,5.750000000000008
A,12,7,0,9,False,False,A,46,RIGHT,5.750000000000008
PRINT_POSITION,12,7,0,9,False,False,NIL,46,RIGHT,5.700000000000008
A,12,7,0,9,False,False,A,47,RIGHT,5.700000000000008
PRINT_POSITION,12,7,0,9,False,False,NIL,47,RIGHT,5.650000000000008
A,12,7,0,9,False,False,A,48,RIGHT,5.650000000000008
PRINT_POSITION,12,7,0,9,False,False,NIL,48,RIGHT,5.6000000000000085
A,12,7,0,9,False,False,A,49,RIGHT,5.6000000000000085
PRINT_POSITION,12,7,0,9,False,False,NIL,49,RIGHT,5.550000000000009
A,12,7,0,9,False,False,A,50,RIGHT,5.550000000000009
PRINT_POSITION,12,7,0,9,False,False,NIL,50,RIGHT,5.500000000000009
A,12,7,0,9,False,False,A,51,RIGHT,5.500000000000009
PRINT_POSITION,12,7,0,9,False,False,NIL,51,RIGHT,5.450000000000009
A,12,7,0,9,False,False,A,52,RIGHT,5.450000000000009
PRINT_POSITION,12,7,0,9,False,False,NIL,52,RIGHT,5.400000000000009
A,12,7,0,9,False,False,A,53,RIGHT,5.400000000000009
PRINT_POSITION,12,7,0,9,False,False,NIL,53,RIGHT,5.350000000000009
DOWN,12,7,0,9,False,False,DOWN,54,DOWN,5.350000000000009
PRINT_POSITION,12,7,0,9,False,False,NIL,54,DOWN,5.30000000000001
A,12,7,0,9,False,False,A,55,DOWN,5.30000000000001
PRINT_POSITION,12,7,0,9,False,False,NIL,55,DOWN,5.25000000000001
A,12,7,0,9,False,False,A,56,DOWN,5.25000000000001
PRINT_POSITION,12,7,0,9,False,False,NIL,56,DOWN,5.20000000000001
A,12,7,0,9,False,False,A,57,DOWN,5.20000000000001
PRINT_POSITION,12,7,0,9,False,False,NIL,57,DOWN,5.15000000000001
A,12,7,0,9,False,False,A,58,DOWN,5.15000000000001
PRINT_POSITION,12,7,0,9,False,False,NIL,58,DOWN,5.10000000000001
B,12,7,0,9,False,False,B,59,DOWN,5.10000000000001
PRINT_POSITION,12,7,0,9,False,False,NIL,59,DOWN,5.0500000000000105
A,12,7,0,9,False,False,A,60,DOWN,5.0500000000000105
PRINT_POSITION,12,7,0,9,False,False,NIL,60,DOWN,5.000000000000011
A,12,7,0,9,False,False,A,61,DOWN,5.000000000000011
PRINT_POSITION,12,7,0,9,False,False,NIL,61,DOWN,4.950000000000011
A,12,7,0,9,False,False,A,62,DOWN,4.950000000000011
PRINT_POSITION,12,7,0,9,False,False,NIL,62,DOWN,4.900000000000011
A,12,7,0,9,False,False,A,63,DOWN,4.900000000000011
PRINT_POSITION,12,7,0,9,False,False,NIL,63,DOWN,4.850000000000011
