inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
L,10,9,0,9,False,False,L,1
L,10,9,0,9,False,False,L,2
SELECT,10,9,0,9,False,False,SELECT,3
SELECT,10,9,0,9,False,False,SELECT,4
R,10,9,0,9,False,False,R,5
R,10,9,0,9,False,False,R,6
L,10,9,0,9,False,False,L,7
L,10,9,0,9,False,False,L,8
DOWN,10,9,0,9,False,False,DOWN,9
L,10,9,0,9,False,False,L,10
LEFT,10,9,0,9,False,False,LEFT,11
START,10,9,0,9,False,False,START,12
UP,10,9,0,9,False,False,UP,13
SELECT,10,9,0,9,False,False,SELECT,14
LEFT,10,9,0,9,False,False,LEFT,15
A,10,9,0,9,False,False,A,16
UP,10,8,0,9,False,False,UP,17
DOWN,10,9,0,9,False,False,DOWN,18
LEFT,9,9,0,9,False,False,LEFT,19
A,9,9,0,9,False,False,A,20
RIGHT,10,9,0,9,False,False,RIGHT,21
A,10,9,0,9,False,False,A,22
UP,10,8,0,9,False,False,UP,23
R,10,8,0,9,False,False,R,24
UP,10,7,0,9,False,False,UP,25
R,10,7,0,9,False,False,R,26
SELECT,10,7,0,9,False,False,SELECT,27
DOWN,10,7,0,9,False,False,DOWN,28
DOWN,10,7,0,9,False,False,DOWN,29
UP,10,7,0,9,False,False,UP,30
L,10,7,0,9,False,False,L,31
DOWN,10,7,0,9,False,False,DOWN,32
A,10,7,0,9,False,False,A,33
DOWN,10,8,0,9,False,False,DOWN,34
START,10,8,0,9,False,False,START,35
RIGHT,11,8,0,9,False,False,RIGHT,36
L,11,8,0,9,False,False,L,37
B,11,8,0,9,False,False,B,38
LEFT,10,8,0,9,False,False,LEFT,39
UP,10,7,0,9,False,False,UP,40
B,10,7,0,9,False,False,B,41
DOWN,10,8,0,9,False,False,DOWN,42
RIGHT,11,8,0,9,False,False,RIGHT,43
L,11,8,0,9,False,False,L,44
RIGHT,11,8,0,9,False,False,RIGHT,45
RIGHT,11,8,0,9,False,False,RIGHT,46
L,11,8,0,9,False,False,L,47
A,11,8,0,9,False,False,A,48
A,11,8,0,9,False,False,A,50
L,11,8,0,9,False,False,L,52
START,11,8,0,9,False,False,START,53
SELECT,11,8,0,9,False,False,SELECT,55
B,11,8,0,9,False,False,B,57
UP,11,7,0,9,False,False,UP,58
SELECT,11,7,0,9,False,False,SELECT,60
A,11,7,0,9,False,False,A,62
LEFT,11,7,0,9,False,False,LEFT,63
LEFT,11,7,0,9,False,False,LEFT,64
RIGHT,11,7,0,9,False,False,RIGHT,65
R,11,7,0,9,False,False,R,66
LEFT,11,7,0,9,False,False,LEFT,67
START,11,7,0,9,False,False,START,69
RIGHT,11,7,0,9,False,False,RIGHT,70
UP,11,7,0,9,False,False,UP,72
LEFT,11,7,0,9,False,False,LEFT,74
DOWN,11,7,0,9,False,False,DOWN,76
L,11,7,0,9,False,False,L,78
B,11,7,0,9,False,False,B,80
B,11,7,0,9,False,False,B,83
DOWN,11,9,0,9,False,False,DOWN,85
A,11,9,0,9,False,False,A,86
A,11,9,0,9,False,False,A,88
B,11,9,0,9,False,False,B,90
SELECT,11,9,0,9,False,False,SELECT,92
UP,11,9,0,9,False,False,UP,94
UP,11,9,0,9,False,False,UP,95
A,11,9,0,9,False,False,A,96
RIGHT,12,9,0,9,False,False,RIGHT,97
L,12,9,0,9,False,False,L,98
UP,12,9,0,9,False,False,UP,99
DOWN,12,10,0,9,False,False,DOWN,100
B,12,10,0,9,False,False,B,101
R,12,10,0,9,False,False,R,102
B,12,10,0,9,False,False,B,103
UP,12,9,0,9,False,False,UP,104
R,12,9,0,9,False,False,R,105
A,12,9,0,9,False,False,A,106
START,12,9,0,9,False,False,START,107
B,12,9,0,9,False,False,B,108
START,12,9,0,9,False,False,START,109
RIGHT,12,9,0,9,False,False,RIGHT,110
RIGHT,12,9,0,9,False,False,RIGHT,111
START,12,9,0,9,False,False,START,112
B,12,9,0,9,False,False,B,113
LEFT,11,9,0,9,False,False,LEFT,114
DOWN,11,10,0,9,False,False,DOWN,115
START,11,10,0,9,False,False,START,116
L,11,10,0,9,False,False,L,117
RIGHT,11,10,0,9,False,False,RIGHT,118
DOWN,11,10,0,9,False,False,DOWN,119
START,11,10,0,9,False,False,START,120
RIGHT,12,10,0,9,False,False,RIGHT,121
A,12,10,0,9,False,False,A,122
R,12,10,0,9,False,False,R,123
RIGHT,13,10,0,9,False,False,RIGHT,124
LEFT,12,10,0,9,False,False,LEFT,125
UP,12,9,0,9,False,False,UP,126
B,12,9,0,9,False,False,B,127
R,12,9,0,9,False,False,R,128
UP,12,9,0,9,False,False,UP,129
LEFT,11,9,0,9,False,False,LEFT,130
R,11,9,0,9,False,False,R,131
R,11,9,0,9,False,False,R,132
A,11,9,0,9,False,False,A,133
UP,11,8,0,9,False,False,UP,134
R,11,8,0,9,False,False,R,135
R,11,8,0,9,False,False,R,136
DOWN,11,9,0,9,False,False,DOWN,137
L,11,9,0,9,False,False,L,138
RIGHT,12,9,0,9,False,False,RIGHT,139
SELECT,12,9,0,9,False,False,SELECT,140
UP,12,9,0,9,False,False,UP,141
A,12,9,0,9,False,False,A,142
SELECT,12,9,0,9,False,False,SELECT,143
UP,12,9,0,9,False,False,UP,144
L,12,9,0,9,False,False,L,145
L,12,9,0,9,False,False,L,146
DOWN,12,9,0,9,False,False,DOWN,147
LEFT,12,9,0,9,False,False,LEFT,148
RIGHT,12,9,0,9,False,False,RIGHT,149
A,12,9,0,9,False,False,A,150
R,12,9,0,9,False,False,R,151
LEFT,11,9,0,9,False,False,LEFT,152
L,11,9,0,9,False,False,L,153
R,11,9,0,9,False,False,R,154
SELECT,11,9,0,9,False,False,SELECT,155
R,11,9,0,9,False,False,R,156
START,11,9,0,9,False,False,START,157
R,11,9,0,9,False,False,R,158
UP,11,9,0,9,False,False,UP,159
LEFT,11,9,0,9,False,False,LEFT,160
DOWN,11,9,0,9,False,False,DOWN,161
LEFT,11,9,0,9,False,False,LEFT,162
R,11,9,0,9,False,False,R,163
A,11,9,0,9,False,False,A,164
DOWN,11,10,0,9,False,False,DOWN,165
L,11,10,0,9,False,False,L,166
L,11,10,0,9,False,False,L,167
L,11,10,0,9,False,False,L,168
SELECT,11,10,0,9,False,False,SELECT,169
DOWN,11,10,0,9,False,False,DOWN,170
UP,11,10,0,9,False,False,UP,171
LEFT,11,10,0,9,False,False,LEFT,172
R,11,10,0,9,False,False,R,173
DOWN,11,10,0,9,False,False,DOWN,174
SELECT,11,10,0,9,False,False,SELECT,175
L,11,10,0,9,False,False,L,176
SELECT,11,10,0,9,False,False,SELECT,177
SELECT,11,10,0,9,False,False,SELECT,178
B,11,10,0,9,False,False,B,179
DOWN,11,11,0,9,False,False,DOWN,180
L,11,11,0,9,False,False,L,181
SELECT,11,11,0,9,False,False,SELECT,182
DOWN,11,11,0,9,False,False,DOWN,183
B,11,11,0,9,False,False,B,184
R,11,11,0,9,False,False,R,185
B,11,11,0,9,False,False,B,186
LEFT,10,11,0,9,False,False,LEFT,187
R,10,11,0,9,False,False,R,188
LEFT,9,11,0,9,False,False,LEFT,189
B,9,11,0,9,False,False,B,190
START,9,11,0,9,False,False,START,191
L,9,11,0,9,False,False,L,192
RIGHT,9,11,0,9,False,False,RIGHT,193
UP,9,11,0,9,False,False,UP,194
DOWN,9,11,0,9,False,False,DOWN,195
RIGHT,9,11,0,9,False,False,RIGHT,196
DOWN,9,11,0,9,False,False,DOWN,197
RIGHT,9,11,0,9,False,False,RIGHT,198
LEFT,9,11,0,9,False,False,LEFT,199
L,9,11,0,9,False,False,L,200
UP,9,11,0,9,False,False,UP,201
RIGHT,9,11,0,9,False,False,RIGHT,202
RIGHT,9,11,0,9,False,False,RIGHT,203
RIGHT,9,11,0,9,False,False,RIGHT,204
R,9,11,0,9,False,False,R,205
START,9,11,0,9,False,False,START,206
LEFT,8,11,0,9,False,False,LEFT,207
DOWN,8,12,0,9,False,False,DOWN,208
A,8,12,0,9,False,False,A,209
