inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
R,10,9,0,9,False,False,R,1
B,10,9,0,9,False,False,B,2
RIGHT,11,9,0,9,False,False,RIGHT,3
L,11,9,0,9,False,False,L,4
SELECT,11,9,0,9,False,False,SELECT,5
LEFT,11,9,0,9,False,False,LEFT,6
LEFT,11,9,0,9,False,False,LEFT,7
SELECT,11,9,0,9,False,False,SELECT,8
UP,11,9,0,9,False,False,UP,9
SELECT,11,9,0,9,False,False,SELECT,10
UP,11,9,0,9,False,False,UP,11
UP,11,9,0,9,False,False,UP,12
A,11,9,0,9,False,False,A,13
L,11,9,0,9,False,False,L,14
A,11,9,0,9,False,False,A,15
LEFT,10,9,0,9,False,False,LEFT,16
DOWN,10,10,0,9,False,False,DOWN,17
DOWN,10,11,0,9,False,False,DOWN,18
A,10,11,0,9,False,False,A,19
R,10,11,0,9,False,False,R,20
A,10,11,0,9,False,False,A,21
LEFT,9,11,0,9,False,False,LEFT,22
DOWN,9,12,0,9,False,False,DOWN,23
DOWN,9,12,0,9,False,False,DOWN,24
UP,9,11,0,9,False,False,UP,25
L,9,11,0,9,False,False,L,26
RIGHT,10,11,0,9,False,False,RIGHT,27
UP,10,10,0,9,False,False,UP,28
RIGHT,11,10,0,9,False,False,RIGHT,29
RIGHT,12,10,0,9,False,False,RIGHT,30
UP,12,9,0,9,False,False,UP,31
UP,12,9,0,9,False,False,UP,32
A,12,9,0,9,False,False,A,33
RIGHT,12,9,0,9,False,False,RIGHT,34
SELECT,12,9,0,9,False,False,SELECT,35
UP,12,9,0,9,False,False,UP,36
SELECT,12,9,0,9,False,False,SELECT,37
RIGHT,12,9,0,9,False,False,RIGHT,38
B,12,9,0,9,False,False,B,39
B,12,9,0,9,False,False,B,40
A,12,9,0,9,False,False,A,41
SELECT,12,9,0,9,False,False,SELECT,42
B,12,9,0,9,False,False,B,43
UP,12,9,0,9,False,False,UP,44
B,12,9,0,9,False,False,B,45
UP,12,9,0,9,False,False,UP,46
DOWN,12,10,0,9,False,False,DOWN,47
DOWN,12,11,0,9,False,False,DOWN,48
START,12,11,0,9,False,False,START,49
UP,12,11,0,9,False,False,UP,50
B,12,11,0,9,False,False,B,51
UP,12,10,0,9,False,False,UP,52
A,12,10,0,9,False,False,A,53
UP,12,9,0,9,False,False,UP,54
DOWN,12,10,0,9,False,False,DOWN,55
SELECT,12,10,0,9,False,False,SELECT,56
R,12,10,0,9,False,False,R,57
UP,12,9,0,9,False,False,UP,58
B,12,9,0,9,False,False,B,59
L,12,9,0,9,False,False,L,60
R,12,9,0,9,False,False,R,61
SELECT,12,9,0,9,False,False,SELECT,62
UP,12,9,0,9,False,False,UP,63
RIGHT,12,9,0,9,False,False,RIGHT,64
DOWN,12,9,0,9,False,False,DOWN,65
START,12,9,0,9,False,False,START,66
A,12,9,0,9,False,False,A,67
LEFT,11,9,0,9,False,False,LEFT,68
B,11,9,0,9,False,False,B,69
A,11,9,0,9,False,False,A,70
RIGHT,12,9,0,9,False,False,RIGHT,71
DOWN,12,10,0,9,False,False,DOWN,72
START,12,10,0,9,False,False,START,73
DOWN,12,10,0,9,False,False,DOWN,74
DOWN,12,10,0,9,False,False,DOWN,75
R,12,10,0,9,False,False,R,76
B,12,10,0,9,False,False,B,77
DOWN,12,11,0,9,False,False,DOWN,78
DOWN,12,12,0,9,False,False,DOWN,79
B,12,12,0,9,False,False,B,80
L,12,12,0,9,False,False,L,81
START,12,12,0,9,False,False,START,82
L,12,12,0,9,False,False,L,83
LEFT,12,12,0,9,False,False,LEFT,84
LEFT,12,12,0,9,False,False,LEFT,85
R,12,12,0,9,False,False,R,86
LEFT,12,12,0,9,False,False,LEFT,87
RIGHT,12,12,0,9,False,False,RIGHT,88
UP,12,12,0,9,False,False,UP,89
B,12,12,0,9,False,False,B,90
L,12,12,0,9,False,False,L,91
A,12,12,0,9,False,False,A,92
DOWN,12,13,0,9,False,False,DOWN,93
START,12,13,0,9,False,False,START,94
DOWN,12,13,0,9,False,False,DOWN,95
RIGHT,12,13,0,9,False,False,RIGHT,96
UP,12,13,0,9,False,False,UP,97
SELECT,12,13,0,9,False,False,SELECT,98
DOWN,12,13,0,9,False,False,DOWN,99
SELECT,12,13,0,9,False,False,SELECT,100
SELECT,12,13,0,9,False,False,SELECT,101
DOWN,12,13,0,9,False,False,DOWN,102
B,12,13,0,9,False,False,B,103
L,12,13,0,9,False,False,L,104
RIGHT,13,13,0,9,False,False,RIGHT,105
A,13,13,0,9,False,False,A,106
RIGHT,14,13,0,9,False,False,RIGHT,107
R,14,13,0,9,False,False,R,108
L,14,13,0,9,False,False,L,109
RIGHT,14,13,0,9,False,False,RIGHT,110
R,14,13,0,9,False,False,R,111
R,14,13,0,9,False,False,R,112
A,14,13,0,9,False,False,A,113
RIGHT,14,13,0,9,False,False,RIGHT,114
DOWN,14,13,0,9,False,False,DOWN,115
A,14,13,0,9,False,False,A,116
A,14,13,0,9,False,False,A,117
UP,14,13,0,9,False,False,UP,118
LEFT,14,13,0,9,False,False,LEFT,119
SELECT,14,13,0,9,False,False,SELECT,120
DOWN,14,13,0,9,False,False,DOWN,121
START,14,13,0,9,False,False,START,122
DOWN,14,13,0,9,False,False,DOWN,123
R,14,13,0,9,False,False,R,124
DOWN,14,13,0,9,False,False,DOWN,125
R,14,13,0,9,False,False,R,126
L,14,13,0,9,False,False,L,127
L,14,13,0,9,False,False,L,128
RIGHT,14,13,0,9,False,False,RIGHT,129
LEFT,14,13,0,9,False,False,LEFT,130
UP,14,13,0,9,False,False,UP,131
B,14,13,0,9,False,False,B,132
UP,14,12,0,9,False,False,UP,133
L,14,12,0,9,False,False,L,134
LEFT,13,12,0,9,False,False,LEFT,135
LEFT,12,12,0,9,False,False,LEFT,136
A,12,12,0,9,False,False,A,137
R,12,12,0,9,False,False,R,138
LEFT,12,12,0,9,False,False,LEFT,139
A,12,12,0,9,False,False,A,140
UP,12,11,0,9,False,False,UP,141
DOWN,12,12,0,9,False,False,DOWN,142
START,12,12,0,9,False,False,START,143
SELECT,12,12,0,9,False,False,SELECT,144
B,12,12,0,9,False,False,B,145
SELECT,12,12,0,9,False,False,SELECT,146
DOWN,12,12,0,9,False,False,DOWN,147
DOWN,12,12,0,9,False,False,DOWN,148
LEFT,12,12,0,9,False,False,LEFT,149
DOWN,12,12,0,9,False,False,DOWN,150
UP,12,12,0,9,False,False,UP,151
SELECT,12,12,0,9,False,False,SELECT,152
SELECT,12,12,0,9,False,False,SELECT,153
RIGHT,12,12,0,9,False,False,RIGHT,154
RIGHT,12,12,0,9,False,False,RIGHT,155
UP,12,12,0,9,False,False,UP,156
LEFT,12,12,0,9,False,False,LEFT,157
RIGHT,12,12,0,9,False,False,RIGHT,158
START,12,12,0,9,False,False,START,159
SELECT,12,12,0,9,False,False,SELECT,160
START,12,12,0,9,False,False,START,161
UP,12,12,0,9,False,False,UP,162
L,12,12,0,9,False,False,L,163
R,12,12,0,9,False,False,R,164
DOWN,12,12,0,9,False,False,DOWN,165
DOWN,12,12,0,9,False,False,DOWN,166
