inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
UP,10,8,0,9,False,False,UP,1
SELECT,10,8,0,9,False,False,SELECT,2
SELECT,10,8,0,9,False,False,SELECT,3
A,10,8,0,9,False,False,A,4
UP,10,8,0,9,False,False,UP,5
L,10,8,0,9,False,False,L,6
START,10,8,0,9,False,False,START,7
SELECT,10,8,0,9,False,False,SELECT,8
L,10,8,0,9,False,False,L,9
R,10,8,0,9,False,False,R,10
SELECT,10,8,0,9,False,False,SELECT,11
B,10,8,0,9,False,False,B,12
B,10,8,0,9,False,False,B,13
L,10,8,0,9,False,False,L,14
B,10,8,0,9,False,False,B,15
LEFT,9,8,0,9,False,False,LEFT,16
B,9,8,0,9,False,False,B,17
START,9,8,0,9,False,False,START,18
UP,9,8,0,9,False,False,UP,19
SELECT,9,8,0,9,False,False,SELECT,20
DOWN,9,8,0,9,False,False,DOWN,21
SELECT,9,8,0,9,False,False,SELECT,22
RIGHT,9,8,0,9,False,False,RIGHT,23
DOWN,9,8,0,9,False,False,DOWN,24
DOWN,9,8,0,9,False,False,DOWN,25
UP,9,8,0,9,False,False,UP,26
START,9,8,0,9,False,False,START,27
L,9,8,0,9,False,False,L,28
RIGHT,10,8,0,9,False,False,RIGHT,29
UP,10,7,0,9,False,False,UP,30
LEFT,9,7,0,9,False,False,LEFT,31
A,9,7,0,9,False,False,A,32
START,9,7,0,9,False,False,START,33
RIGHT,9,7,0,9,False,False,RIGHT,34
DOWN,9,7,0,9,False,False,DOWN,35
LEFT,9,7,0,9,False,False,LEFT,36
RIGHT,9,7,0,9,False,False,RIGHT,37
L,9,7,0,9,False,False,L,38
START,9,7,0,9,False,False,START,39
L,9,7,0,9,False,False,L,40
START,9,7,0,9,False,False,START,41
UP,9,7,0,9,False,False,UP,42
R,9,7,0,9,False,False,R,43
RIGHT,9,7,0,9,False,False,RIGHT,44
UP,9,7,0,9,False,False,UP,45
A,9,7,0,9,False,False,A,46
START,9,7,0,9,False,False,START,47
L,9,7,0,9,False,False,L,48
SELECT,9,7,0,9,False,False,SELECT,49
L,9,7,0,9,False,False,L,50
A,9,7,0,9,False,False,A,51
RIGHT,9,7,0,9,False,False,RIGHT,52
LEFT,9,7,0,9,False,False,LEFT,53
LEFT,9,7,0,9,False,False,LEFT,54
LEFT,9,7,0,9,False,False,LEFT,55
RIGHT,9,7,0,9,False,False,RIGHT,56
L,9,7,0,9,False,False,L,57
START,9,7,0,9,False,False,START,58
R,9,7,0,9,False,False,R,59
SELECT,9,7,0,9,False,False,SELECT,60
L,9,7,0,9,False,False,L,61
A,9,7,0,9,False,False,A,62
SELECT,9,7,0,9,False,False,SELECT,63
LEFT,9,7,0,9,False,False,LEFT,64
