inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
B,10,9,0,9,False,False,B,1
UP,10,8,0,9,False,False,UP,2
B,10,8,0,9,False,False,B,3
R,10,8,0,9,False,False,R,4
A,10,8,0,9,False,False,A,5
RIGHT,11,8,0,9,False,False,RIGHT,6
UP,11,7,0,9,False,False,UP,7
RIGHT,12,7,0,9,False,False,RIGHT,8
R,12,7,0,9,False,False,R,9
LEFT,11,7,0,9,False,False,LEFT,10
SELECT,11,7,0,9,False,False,SELECT,11
B,11,7,0,9,False,False,B,12
R,11,7,0,9,False,False,R,13
B,11,7,0,9,False,False,B,14
START,11,7,0,9,False,False,START,15
SELECT,11,7,0,9,False,False,SELECT,16
RIGHT,11,7,0,9,False,False,RIGHT,17
R,11,7,0,9,False,False,R,18
B,11,7,0,9,False,False,B,19
SELECT,11,7,0,9,False,False,SELECT,20
L,11,7,0,9,False,False,L,21
START,11,7,0,9,False,False,START,22
START,11,7,0,9,False,False,START,23
LEFT,11,7,0,9,False,False,LEFT,24
A,11,7,0,9,False,False,A,25
LEFT,10,7,0,9,False,False,LEFT,26
UP,10,6,0,9,False,False,UP,27
A,10,6,0,9,False,False,A,28
START,10,6,0,9,False,False,START,29
DOWN,10,6,0,9,False,False,DOWN,30
SELECT,10,6,0,9,False,False,SELECT,31
A,10,6,0,9,False,False,A,32
LEFT,9,6,0,9,False,False,LEFT,33
LEFT,8,6,0,9,False,False,LEFT,34
RIGHT,9,6,0,9,False,False,RIGHT,35
RIGHT,10,6,0,9,False,False,RIGHT,36
B,10,6,0,9,False,False,B,37
B,10,6,0,9,False,False,B,38
B,10,6,0,9,False,False,B,39
START,10,6,0,9,False,False,START,40
A,10,6,0,9,False,False,A,41
START,10,6,0,9,False,False,START,42
DOWN,10,6,0,9,False,False,DOWN,43
SELECT,10,6,0,9,False,False,SELECT,44
L,10,6,0,9,False,False,L,45
SELECT,10,6,0,9,False,False,SELECT,46
UP,10,6,0,9,False,False,UP,47
START,10,6,0,9,False,False,START,48
A,10,6,0,9,False,False,A,49
