inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
L,10,9,0,9,False,False,L,1
START,10,9,0,9,False,False,START,2
R,10,9,0,9,False,False,R,3
B,10,9,0,9,False,False,B,4
UP,10,8,0,9,False,False,UP,5
A,10,8,0,9,False,False,A,6
RIGHT,11,8,0,9,False,False,RIGHT,7
A,11,8,0,9,False,False,A,8
LEFT,10,8,0,9,False,False,LEFT,9
R,10,8,0,9,False,False,R,10
SELECT,10,8,0,9,False,False,SELECT,11
B,10,8,0,9,False,False,B,12
RIGHT,10,8,0,9,False,False,RIGHT,13
LEFT,10,8,0,9,False,False,LEFT,14
R,10,8,0,9,False,False,R,15
START,10,8,0,9,False,False,START,16
DOWN,10,8,0,9,False,False,DOWN,17
UP,10,8,0,9,False,False,UP,18
START,10,8,0,9,False,False,START,19
RIGHT,10,8,0,9,False,False,RIGHT,20
