inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
L,12,10,0,9,False,False,L,314
A,12,10,0,9,False,False,A,315
UP,12,9,0,9,False,False,UP,316
L,12,9,0,9,False,False,L,317
A,12,9,0,9,False,False,A,318
START,12,9,0,9,False,False,START,319
LEFT,12,9,0,9,False,False,LEFT,320
B,12,9,0,9,False,False,B,321
R,12,9,0,9,False,False,R,322
L,12,9,0,9,False,False,L,323
DOWN,12,9,0,9,False,False,DOWN,324
UP,12,9,0,9,False,False,UP,325
SELECT,12,9,0,9,False,False,SELECT,326
DOWN,12,9,0,9,False,False,DOWN,327
L,12,9,0,9,False,False,L,328
A,12,9,0,9,False,False,A,329
DOWN,12,10,0,9,False,False,DOWN,330
RIGHT,13,10,0,9,False,False,RIGHT,331
LEFT,12,10,0,9,False,False,LEFT,332
LEFT,11,10,0,9,False,False,LEFT,333
DOWN,11,11,0,9,False,False,DOWN,334
B,11,11,0,9,False,False,B,335
SELECT,11,11,0,9,False,False,SELECT,336
B,11,11,0,9,False,False,B,337
START,11,11,0,9,False,False,START,338
RIGHT,11,11,0,9,False,False,RIGHT,339
LEFT,11,11,0,9,False,False,LEFT,340
RIGHT,11,11,0,9,False,False,RIGHT,341
RIGHT,11,11,0,9,False,False,RIGHT,342
SELECT,11,11,0,9,False,False,SELECT,343
RIGHT,11,11,0,9,False,False,RIGHT,344
SELECT,11,11,0,9,False,False,SELECT,345
UP,11,11,0,9,False,False,UP,346
SELECT,11,11,0,9,False,False,SELECT,347
SELECT,11,11,0,9,False,False,SELECT,348
LEFT,11,11,0,9,False,False,LEFT,349
B,11,11,0,9,False,False,B,350
SELECT,11,11,0,9,False,False,SELECT,351
SELECT,11,11,0,9,False,False,SELECT,352
L,11,11,0,9,False,False,L,353
RIGHT,11,11,0,9,False,False,RIGHT,354
DOWN,11,11,0,9,False,False,DOWN,355
SELECT,11,11,0,9,False,False,SELECT,356
B,11,11,0,9,False,False,B,357
RIGHT,12,11,0,9,False,False,RIGHT,358
R,12,11,0,9,False,False,R,359
A,12,11,0,9,False,False,A,360
DOWN,12,12,0,9,False,False,DOWN,361
UP,12,11,0,9,False,False,UP,362
LEFT,11,11,0,9,False,False,LEFT,363
LEFT,10,11,0,9,False,False,LEFT,364
L,10,11,0,9,False,False,L,365
B,10,11,0,9,False,False,B,366
L,10,11,0,9,False,False,L,367
SELECT,10,11,0,9,False,False,SELECT,368
RIGHT,10,11,0,9,False,False,RIGHT,369
RIGHT,10,11,0,9,False,False,RIGHT,370
DOWN,10,11,0,9,False,False,DOWN,371
START,10,11,0,9,False,False,START,372
LEFT,10,11,0,9,False,False,LEFT,373
START,10,11,0,9,False,False,START,374
B,10,11,0,9,False,False,B,375
START,10,11,0,9,False,False,START,376
DOWN,10,11,0,9,False,False,DOWN,377
R,10,11,0,9,False,False,R,378
L,10,11,0,9,False,False,L,379
UP,10,11,0,9,False,False,UP,380
L,10,11,0,9,False,False,L,381
SELECT,10,11,0,9,False,False,SELECT,382
SELECT,10,11,0,9,False,False,SELECT,383
RIGHT,10,11,0,9,False,False,RIGHT,384
UP,10,11,0,9,False,False,UP,385
A,10,11,0,9,False,False,A,386
L,10,11,0,9,False,False,L,387
RIGHT,10,11,0,9,False,False,RIGHT,388
RIGHT,10,11,0,9,False,False,RIGHT,389
LEFT,10,11,0,9,False,False,LEFT,390
R,10,11,0,9,False,False,R,391
L,10,11,0,9,False,False,L,392
A,10,11,0,9,False,False,A,393
DOWN,10,12,0,9,False,False,DOWN,394
R,10,12,0,9,False,False,R,395
START,10,12,0,9,False,False,START,396
L,10,12,0,9,False,False,L,397
L,10,12,0,9,False,False,L,398
A,10,12,0,9,False,False,A,399
L,10,12,0,9,False,False,L,400
START,10,12,0,9,False,False,START,401
START,10,12,0,9,False,False,START,402
UP,10,11,0,9,False,False,UP,403
DOWN,10,12,0,9,False,False,DOWN,404
L,10,12,0,9,False,False,L,405
R,10,12,0,9,False,False,R,406
RIGHT,11,12,0,9,False,False,RIGHT,407
LEFT,10,12,0,9,False,False,LEFT,408
UP,10,11,0,9,False,False,UP,409
R,10,11,0,9,False,False,R,410
L,10,11,0,9,False,False,L,411
LEFT,9,11,0,9,False,False,LEFT,412
UP,9,10,0,9,False,False,UP,413
DOWN,9,11,0,9,False,False,DOWN,414
LEFT,8,11,0,9,False,False,LEFT,415
START,8,11,0,9,False,False,START,416
UP,8,10,0,9,False,False,UP,417
RIGHT,9,10,0,9,False,False,RIGHT,418
R,9,10,0,9,False,False,R,419
LEFT,8,10,0,9,False,False,LEFT,420
START,8,10,0,9,False,False,START,421
