inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
SELECT,10,9,0,9,False,False,SELECT,1
L,10,9,0,9,False,False,L,2
LEFT,10,9,0,9,False,False,LEFT,3
SELECT,10,9,0,9,False,False,SELECT,4
L,10,9,0,9,False,False,L,5
SELECT,10,9,0,9,False,False,SELECT,6
LEFT,10,9,0,9,False,False,LEFT,7
A,10,9,0,9,False,False,A,8
RIGHT,11,9,0,9,False,False,RIGHT,9
L,11,9,0,9,False,False,L,10
R,11,9,0,9,False,False,R,11
LEFT,10,9,0,9,False,False,LEFT,12
RIGHT,11,9,0,9,False,False,RIGHT,13
UP,11,8,0,9,False,False,UP,14
DOWN,11,9,0,9,False,False,DOWN,15
DOWN,11,10,0,9,False,False,DOWN,16
START,11,10,0,9,False,False,START,17
UP,11,10,0,9,False,False,UP,18
R,11,10,0,9,False,False,R,19
RIGHT,11,10,0,9,False,False,RIGHT,20
SELECT,11,10,0,9,False,False,SELECT,21
DOWN,11,10,0,9,False,False,DOWN,22
START,11,10,0,9,False,False,START,23
START,11,10,0,9,False,False,START,24
UP,11,10,0,9,False,False,UP,25
LEFT,11,10,0,9,False,False,LEFT,26
L,11,10,0,9,False,False,L,27
SELECT,11,10,0,9,False,False,SELECT,28
SELECT,11,10,0,9,False,False,SELECT,29
START,11,10,0,9,False,False,START,30
R,11,10,0,9,False,False,R,31
SELECT,11,10,0,9,False,False,SELECT,32
RIGHT,11,10,0,9,False,False,RIGHT,33
R,11,10,0,9,False,False,R,34
A,11,10,0,9,False,False,A,35
DOWN,11,10,0,9,False,False,DOWN,36
SELECT,11,10,0,9,False,False,SELECT,37
R,11,10,0,9,False,False,R,38
UP,11,10,0,9,False,False,UP,39
DOWN,11,10,0,9,False,False,DOWN,40
L,11,10,0,9,False,False,L,41
START,11,10,0,9,False,False,START,42
UP,11,10,0,9,False,False,UP,43
A,11,10,0,9,False,False,A,44
LEFT,10,10,0,9,False,False,LEFT,45
RIGHT,11,10,0,9,False,False,RIGHT,46
RIGHT,12,10,0,9,False,False,RIGHT,47
DOWN,12,11,0,9,False,False,DOWN,48
START,12,11,0,9,False,False,START,49
UP,12,10,0,9,False,False,UP,50
A,12,10,0,9,False,False,A,51
R,12,10,0,9,False,False,R,52
A,12,10,0,9,False,False,A,53
