inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
START,10,9,0,9,False,False,START,1
A,10,9,0,9,False,False,A,2
B,10,9,0,9,False,False,B,3
B,10,9,0,9,False,False,B,4
L,10,9,0,9,False,False,L,5
DOWN,10,9,0,9,False,False,DOWN,6
UP,10,9,0,9,False,False,UP,7
RIGHT,10,9,0,9,False,False,RIGHT,8
RIGHT,10,9,0,9,False,False,RIGHT,9
RIGHT,10,9,0,9,False,False,RIGHT,10
A,10,9,0,9,False,False,A,11
R,10,9,0,9,False,False,R,12
DOWN,10,9,0,9,False,False,DOWN,13
DOWN,10,9,0,9,False,False,DOWN,14
B,10,9,0,9,False,False,B,15
START,10,9,0,9,False,False,START,16
RIGHT,10,9,0,9,False,False,RIGHT,17
START,10,9,0,9,False,False,START,18
SELECT,10,9,0,9,False,False,SELECT,19
A,10,9,0,9,False,False,A,20
L,10,9,0,9,False,False,L,21
A,10,9,0,9,False,False,A,22
DOWN,10,9,0,9,False,False,DOWN,23
R,10,9,0,9,False,False,R,24
SELECT,10,9,0,9,False,False,SELECT,25
LEFT,10,9,0,9,False,False,LEFT,26
RIGHT,10,9,0,9,False,False,RIGHT,27
B,10,9,0,9,False,False,B,28
DOWN,10,9,0,9,False,False,DOWN,29
START,10,9,0,9,False,False,START,30
L,10,9,0,9,False,False,L,31
UP,10,9,0,9,False,False,UP,32
RIGHT,10,9,0,9,False,False,RIGHT,33
UP,10,9,0,9,False,False,UP,34
UP,10,9,0,9,False,False,UP,35
DOWN,10,9,0,9,False,False,DOWN,36
RIGHT,10,9,0,9,False,False,RIGHT,37
START,10,9,0,9,False,False,START,38
SELECT,10,9,0,9,False,False,SELECT,39
DOWN,10,9,0,9,False,False,DOWN,40
L,10,9,0,9,False,False,L,41
SELECT,10,9,0,9,False,False,SELECT,42
START,10,9,0,9,False,False,START,43
START,10,9,0,9,False,False,START,44
B,10,9,0,9,False,False,B,45
A,10,9,0,9,False,False,A,46
SELECT,10,9,0,9,False,False,SELECT,47
DOWN,10,9,0,9,False,False,DOWN,48
B,10,9,0,9,False,False,B,49
DOWN,10,9,0,9,False,False,DOWN,50
START,10,9,0,9,False,False,START,51
UP,10,9,0,9,False,False,UP,52
L,10,9,0,9,False,False,L,53
R,10,9,0,9,False,False,R,54
RIGHT,10,9,0,9,False,False,RIGHT,55
START,10,9,0,9,False,False,START,56
LEFT,10,9,0,9,False,False,LEFT,57
A,10,9,0,9,False,False,A,58
B,10,9,0,9,False,False,B,59
LEFT,9,9,0,9,False,False,LEFT,60
UP,9,8,0,9,False,False,UP,61
B,9,8,0,9,False,False,B,62
A,9,8,0,9,False,False,A,63
B,9,8,0,9,False,False,B,64
DOWN,9,9,0,9,False,False,DOWN,65
UP,9,8,0,9,False,False,UP,66
L,9,8,0,9,False,False,L,67
RIGHT,10,8,0,9,False,False,RIGHT,68
L,10,8,0,9,False,False,L,69
START,10,8,0,9,False,False,START,70
UP,10,8,0,9,False,False,UP,71
UP,10,8,0,9,False,False,UP,72
L,10,8,0,9,False,False,L,73
R,10,8,0,9,False,False,R,74
SELECT,10,8,0,9,False,False,SELECT,75
LEFT,10,8,0,9,False,False,LEFT,76
RIGHT,10,8,0,9,False,False,RIGHT,77
B,10,8,0,9,False,False,B,78
A,10,8,0,9,False,False,A,79
START,10,8,0,9,False,False,START,80
LEFT,10,8,0,9,False,False,LEFT,81
A,10,8,0,9,False,False,A,82
DOWN,10,8,0,9,False,False,DOWN,83
A,10,8,0,9,False,False,A,84
RIGHT,10,8,0,9,False,False,RIGHT,85
DOWN,10,8,0,9,False,False,DOWN,86
L,10,8,0,9,False,False,L,87
RIGHT,10,8,0,9,False,False,RIGHT,88
DOWN,10,8,0,9,False,False,DOWN,89
R,10,8,0,9,False,False,R,90
LEFT,10,8,0,9,False,False,LEFT,91
R,10,8,0,9,False,False,R,92
UP,10,8,0,9,False,False,UP,93
LEFT,10,8,0,9,False,False,LEFT,94
L,10,8,0,9,False,False,L,95
DOWN,10,8,0,9,False,False,DOWN,96
LEFT,10,8,0,9,False,False,LEFT,97
DOWN,10,8,0,9,False,False,DOWN,98
DOWN,10,8,0,9,False,False,DOWN,99
START,10,8,0,9,False,False,START,100
LEFT,10,8,0,9,False,False,LEFT,101
B,10,8,0,9,False,False,B,102
UP,10,8,0,9,False,False,UP,103
LEFT,10,8,0,9,False,False,LEFT,104
START,10,8,0,9,False,False,START,105
UP,10,8,0,9,False,False,UP,106
L,10,8,0,9,False,False,L,107
B,10,8,0,9,False,False,B,108
B,10,8,0,9,False,False,B,109
RIGHT,11,8,0,9,False,False,RIGHT,110
R,11,8,0,9,False,False,R,111
DOWN,11,9,0,9,False,False,DOWN,112
L,11,9,0,9,False,False,L,113
SELECT,11,9,0,9,False,False,SELECT,114
LEFT,11,9,0,9,False,False,LEFT,115
B,11,9,0,9,False,False,B,116
R,11,9,0,9,False,False,R,117
RIGHT,11,9,0,9,False,False,RIGHT,118
A,11,9,0,9,False,False,A,119
UP,11,8,0,9,False,False,UP,120
LEFT,10,8,0,9,False,False,LEFT,121
START,10,8,0,9,False,False,START,122
UP,10,8,0,9,False,False,UP,123
START,10,8,0,9,False,False,START,124
B,10,8,0,9,False,False,B,125
UP,10,7,0,9,False,False,UP,126
DOWN,10,8,0,9,False,False,DOWN,127
B,10,8,0,9,False,False,B,128
A,10,8,0,9,False,False,A,129
