inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
RIGHT,3,3,0,9,False,False,RIGHT,158,0.9
UP,3,2,0,9,False,False,UP,159,1.7999999999999998
LEFT,2,2,0,9,False,False,LEFT,160,2.6999999999999997
UP,2,2,0,9,False,False,UP,161,2.5999999999999996
A,2,2,0,9,False,False,A,162,2.4999999999999996
UP,2,2,0,9,False,False,UP,163,2.3999999999999995
B,2,2,0,9,False,False,B,164,2.2999999999999994
LEFT,2,2,0,9,False,False,LEFT,165,2.1999999999999993
RIGHT,3,2,0,9,False,False,RIGHT,166,2.099999999999999
B,3,2,0,9,False,False,B,167,1.9999999999999991
LEFT,2,2,0,9,False,False,LEFT,168,1.899999999999999
A,2,2,0,9,False,False,A,169,1.799999999999999
UP,2,2,0,9,False,False,UP,170,1.6999999999999988
DOWN,2,3,0,9,False,False,DOWN,171,2.5999999999999988
LEFT,2,3,0,9,False,False,LEFT,172,2.4999999999999987
DOWN,2,4,0,9,False,False,DOWN,173,3.3999999999999986
B,2,4,0,9,False,False,B,174,3.2999999999999985
LEFT,1,4,0,9,False,False,LEFT,175,4.199999999999999
LEFT,0,4,0,9,False,False,LEFT,176,5.1
RIGHT,1,4,0,9,False,False,RIGHT,177,5.0
DOWN,1,5,0,9,False,False,DOWN,178,5.9
DOWN,1,6,0,9,False,False,DOWN,179,6.800000000000001
RIGHT,1,6,0,9,False,False,RIGHT,180,6.700000000000001
B,1,6,0,9,False,False,B,181,6.600000000000001
UP,1,5,0,9,False,False,UP,182,6.500000000000002
DOWN,1,6,0,9,False,False,DOWN,183,6.400000000000002
DOWN,1,7,0,9,False,False,DOWN,184,7.3000000000000025
RIGHT,1,7,0,9,False,False,RIGHT,185,7.200000000000003
LEFT,0,7,0,9,False,False,LEFT,186,8.100000000000003
RIGHT,1,7,0,9,False,False,RIGHT,187,8.000000000000004
A,1,7,0,9,False,False,A,188,7.900000000000004
LEFT,0,7,0,9,False,False,LEFT,189,7.800000000000004
A,0,7,0,9,False,False,A,190,7.700000000000005
RIGHT,1,7,0,9,False,False,RIGHT,191,7.600000000000005
DOWN,1,8,0,9,False,False,DOWN,192,8.500000000000005
LEFT,0,8,0,9,False,False,LEFT,193,9.400000000000006
UP,0,7,0,9,False,False,UP,194,9.300000000000006
LEFT,0,7,0,9,False,False,LEFT,195,9.200000000000006
B,0,7,0,9,False,False,B,196,9.100000000000007
LEFT,0,7,0,9,False,False,LEFT,197,9.000000000000007
UP,0,6,0,9,False,False,UP,198,9.900000000000007
B,0,6,0,9,False,False,B,199,9.800000000000008
A,0,6,0,9,False,False,A,200,9.700000000000008
LEFT,0,6,0,9,False,False,LEFT,201,9.600000000000009
B,0,6,0,9,False,False,B,202,9.500000000000009
UP,0,5,0,9,False,False,UP,203,10.40000000000001
RIGHT,1,5,0,9,False,False,RIGHT,204,10.30000000000001
A,1,5,0,9,False,False,A,205,10.20000000000001
B,1,5,0,9,False,False,B,206,10.10000000000001
DOWN,1,6,0,9,False,False,DOWN,207,10.00000000000001
DOWN,1,7,0,9,False,False,DOWN,208,9.900000000000011
A,1,7,0,9,False,False,A,209,9.800000000000011
UP,1,6,0,9,False,False,UP,210,9.700000000000012
DOWN,1,7,0,9,False,False,DOWN,211,9.600000000000012
B,1,7,0,9,False,False,B,212,9.500000000000012
B,1,7,0,9,False,False,B,213,9.400000000000013
B,1,7,0,9,False,False,B,214,9.300000000000013
B,1,7,0,9,False,False,B,215,9.200000000000014
A,1,7,0,9,False,False,A,216,9.100000000000014
B,1,7,0,9,False,False,B,217,9.000000000000014
LEFT,0,7,0,9,False,False,LEFT,218,8.900000000000015
A,0,7,0,9,False,False,A,219,8.800000000000015
A,0,7,0,9,False,False,A,220,8.700000000000015
B,0,7,0,9,False,False,B,221,8.600000000000016
DOWN,0,8,0,9,False,False,DOWN,222,8.500000000000016
UP,0,7,0,9,False,False,UP,223,8.400000000000016
B,0,7,0,9,False,False,B,224,8.300000000000017
DOWN,0,8,0,9,False,False,DOWN,225,8.200000000000017
DOWN,0,9,0,9,False,False,DOWN,226,9.100000000000017
RIGHT,1,9,0,9,False,False,RIGHT,227,10.000000000000018
RIGHT,2,9,0,9,False,False,RIGHT,228,10.900000000000018
B,2,9,0,9,False,False,B,229,10.800000000000018
RIGHT,3,9,0,9,False,False,RIGHT,230,11.700000000000019
DOWN,3,10,0,9,False,False,DOWN,231,12.60000000000002
UP,3,9,0,9,False,False,UP,232,12.50000000000002
DOWN,3,10,0,9,False,False,DOWN,233,12.40000000000002
