inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
RIGHT,10,10,0,9,False,False,RIGHT,1,0.9
LEFT,9,10,0,9,False,False,LEFT,2,1.7999999999999998
LEFT,8,10,0,9,False,False,LEFT,3,2.6999999999999997
UP,8,9,0,9,False,False,UP,4,3.5999999999999996
DOWN,8,10,0,9,False,False,DOWN,5,3.4999999999999996
UP,8,9,0,9,False,False,UP,6,3.3999999999999995
UP,8,8,0,9,False,False,UP,7,4.3
A,8,8,0,9,False,False,A,8,4.2
LEFT,8,8,0,9,False,False,LEFT,9,4.1000000000000005
RIGHT,9,8,0,9,False,False,RIGHT,10,5.000000000000001
RIGHT,10,8,0,9,False,False,RIGHT,11,5.900000000000001
RIGHT,11,8,0,9,False,False,RIGHT,12,6.800000000000002
LEFT,10,8,0,9,False,False,LEFT,13,6.700000000000002
A,10,8,0,9,False,False,A,14,6.600000000000002
B,10,8,0,9,False,False,B,15,6.500000000000003
UP,10,7,0,9,False,False,UP,16,7.400000000000003
DOWN,10,8,0,9,False,False,DOWN,17,7.300000000000003
UP,10,7,0,9,False,False,UP,18,7.200000000000004
LEFT,9,7,0,9,False,False,LEFT,19,8.100000000000003
RIGHT,10,7,0,9,False,False,RIGHT,20,8.000000000000004
RIGHT,11,7,0,9,False,False,RIGHT,21,8.900000000000004
LEFT,10,7,0,9,False,False,LEFT,22,8.800000000000004
RIGHT,11,7,0,9,False,False,RIGHT,23,8.700000000000005
LEFT,10,7,0,9,False,False,LEFT,24,8.600000000000005
RIGHT,11,7,0,9,False,False,RIGHT,25,8.500000000000005
B,11,7,0,9,False,False,B,26,8.400000000000006
RIGHT,12,7,0,9,False,False,RIGHT,27,9.300000000000006
LEFT,11,7,0,9,False,False,LEFT,28,9.200000000000006
DOWN,11,8,0,9,False,False,DOWN,29,9.100000000000007
LEFT,10,8,0,9,False,False,LEFT,30,9.000000000000007
LEFT,9,8,0,9,False,False,LEFT,31,8.900000000000007
B,9,8,0,9,False,False,B,32,8.800000000000008
B,9,8,0,9,False,False,B,33,8.700000000000008
A,9,8,0,9,False,False,A,34,8.600000000000009
LEFT,8,8,0,9,False,False,LEFT,35,8.500000000000009
LEFT,8,8,0,9,False,False,LEFT,36,8.40000000000001
B,8,8,0,9,False,False,B,37,8.30000000000001
B,8,8,0,9,False,False,B,38,8.20000000000001
A,8,8,0,9,False,False,A,39,8.10000000000001
DOWN,8,8,0,9,False,False,DOWN,40,8.00000000000001
A,8,8,0,9,False,False,A,41,7.900000000000011
UP,8,7,0,9,False,False,UP,42,8.800000000000011
UP,8,6,0,9,False,False,UP,43,9.700000000000012
B,8,6,0,9,False,False,B,44,9.600000000000012
B,8,6,0,9,False,False,B,45,9.500000000000012
A,8,6,0,9,False,False,A,46,9.400000000000013
B,8,6,0,9,False,False,B,47,9.300000000000013
A,8,6,0,9,False,False,A,48,9.200000000000014
B,8,6,0,9,False,False,B,49,9.100000000000014
UP,8,5,0,9,False,False,UP,50,10.000000000000014
LEFT,7,5,0,9,False,False,LEFT,51,10.900000000000015
RIGHT,8,5,0,9,False,False,RIGHT,52,10.800000000000015
LEFT,7,5,0,9,False,False,LEFT,53,10.700000000000015
B,7,5,0,9,False,False,B,54,10.600000000000016
A,7,5,0,9,False,False,A,55,10.500000000000016
DOWN,7,6,0,9,False,False,DOWN,56,11.400000000000016
RIGHT,8,6,0,9,False,False,RIGHT,57,11.300000000000017
B,8,6,0,9,False,False,B,58,11.200000000000017
LEFT,7,6,0,9,False,False,LEFT,59,11.100000000000017
RIGHT,8,6,0,9,False,False,RIGHT,60,11.000000000000018
B,8,6,0,9,False,False,B,61,10.900000000000018
A,8,6,0,9,False,False,A,62,10.800000000000018
LEFT,7,6,0,9,False,False,LEFT,63,10.700000000000019
RIGHT,8,6,0,9,False,False,RIGHT,64,10.60000000000002
RIGHT,9,6,0,9,False,False,RIGHT,65,11.50000000000002
LEFT,8,6,0,9,False,False,LEFT,66,11.40000000000002
DOWN,8,7,0,9,False,False,DOWN,67,11.30000000000002
UP,8,6,0,9,False,False,UP,68,11.20000000000002
LEFT,7,6,0,9,False,False,LEFT,69,11.100000000000021
UP,7,5,0,9,False,False,UP,70,11.000000000000021
UP,7,4,0,9,False,False,UP,71,11.900000000000022
UP,7,3,0,9,False,False,UP,72,12.800000000000022
B,7,3,0,9,False,False,B,73,12.700000000000022
UP,7,2,0,9,False,False,UP,74,13.600000000000023
LEFT,6,2,0,9,False,False,LEFT,75,14.500000000000023
LEFT,5,2,0,9,False,False,LEFT,76,15.400000000000023
UP,5,2,0,9,False,False,UP,77,15.300000000000024
DOWN,5,3,0,9,False,False,DOWN,78,16.200000000000024
UP,5,2,0,9,False,False,UP,79,16.100000000000023
UP,5,2,0,9,False,False,UP,80,16.00000000000002
A,5,2,0,9,False,False,A,81,15.900000000000022
B,5,2,0,9,False,False,B,82,15.800000000000022
A,5,2,0,9,False,False,A,83,15.700000000000022
LEFT,4,2,0,9,False,False,LEFT,84,16.600000000000023
RIGHT,5,2,0,9,False,False,RIGHT,85,16.50000000000002
UP,5,2,0,9,False,False,UP,86,16.40000000000002
UP,5,2,0,9,False,False,UP,87,16.30000000000002
B,5,2,0,9,False,False,B,88,16.200000000000017
RIGHT,6,2,0,9,False,False,RIGHT,89,16.100000000000016
DOWN,6,3,0,9,False,False,DOWN,90,17.000000000000014
DOWN,6,4,0,9,False,False,DOWN,91,17.900000000000013
RIGHT,7,4,0,9,False,False,RIGHT,92,17.80000000000001
A,7,4,0,9,False,False,A,93,17.70000000000001
B,7,4,0,9,False,False,B,94,17.60000000000001
UP,7,3,0,9,False,False,UP,95,17.500000000000007
B,7,3,0,9,False,False,B,96,17.400000000000006
LEFT,6,3,0,9,False,False,LEFT,97,17.300000000000004
A,6,3,0,9,False,False,A,98,17.200000000000003
RIGHT,7,3,0,9,False,False,RIGHT,99,17.1
LEFT,6,3,0,9,False,False,LEFT,100,17.0
LEFT,5,3,0,9,False,False,LEFT,101,16.9
RIGHT,6,3,0,9,False,False,RIGHT,102,16.799999999999997
LEFT,5,3,0,9,False,False,LEFT,103,16.699999999999996
DOWN,5,4,0,9,False,False,DOWN,104,17.599999999999994
A,5,4,0,9,False,False,A,105,17.499999999999993
RIGHT,6,4,0,9,False,False,RIGHT,106,17.39999999999999
DOWN,6,4,0,9,False,False,DOWN,107,17.29999999999999
LEFT,5,4,0,9,False,False,LEFT,108,17.19999999999999
RIGHT,6,4,0,9,False,False,RIGHT,109,17.099999999999987
A,6,4,0,9,False,False,A,110,16.999999999999986
DOWN,5,4,0,9,False,False,DOWN,112,16.899999999999984
B,5,4,0,9,False,False,B,113,16.799999999999983
B,5,4,0,9,False,False,B,114,16.69999999999998
UP,5,3,0,9,False,False,UP,115,16.59999999999998
A,5,3,0,9,False,False,A,116,16.49999999999998
UP,5,2,0,9,False,False,UP,117,16.399999999999977
RIGHT,6,2,0,9,False,False,RIGHT,118,16.299999999999976
DOWN,6,3,0,9,False,False,DOWN,119,16.199999999999974
A,6,3,0,9,False,False,A,120,16.099999999999973
DOWN,6,4,0,9,False,False,DOWN,121,15.999999999999973
UP,6,3,0,9,False,False,UP,122,15.899999999999974
