inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,facingDirection,reward
RIGHT,10,10,0,9,False,False,RIGHT,1,RIGHT,0
RIGHT,11,10,0,9,False,False,RIGHT,2,RIGHT,0.9
B,11,10,0,9,False,False,B,3,RIGHT,1.7999999999999998
B,11,10,0,9,False,False,B,4,RIGHT,1.6999999999999997
B,11,10,0,9,False,False,B,5,RIGHT,1.5999999999999996
B,11,10,0,9,False,False,B,6,RIGHT,1.4999999999999996
RIGHT,12,10,0,9,False,False,RIGHT,7,RIGHT,1.3999999999999995
DOWN,12,11,0,9,False,False,DOWN,8,DOWN,2.2999999999999994
A,12,11,0,9,False,False,A,9,DOWN,3.1999999999999993
A,12,11,0,9,False,False,A,10,DOWN,3.099999999999999
B,12,11,0,9,False,False,B,11,DOWN,2.999999999999999
LEFT,11,11,0,9,False,False,LEFT,12,LEFT,2.899999999999999
RIGHT,12,11,0,9,False,False,RIGHT,13,RIGHT,3.799999999999999
DOWN,12,12,0,9,False,False,DOWN,14,DOWN,3.699999999999999
A,12,12,0,9,False,False,A,15,DOWN,4.6
DOWN,12,13,0,9,False,False,DOWN,16,DOWN,4.5
UP,12,12,0,9,False,False,UP,17,UP,5.4
B,12,12,0,9,False,False,B,18,UP,5.300000000000001
A,12,12,0,9,False,False,A,19,UP,5.200000000000001
UP,12,11,0,9,False,False,UP,20,UP,5.100000000000001
