inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
DOWN,7,7,0,9,False,False,DOWN,251,0.9
LEFT,7,7,0,9,False,False,LEFT,252,0.8
LEFT,7,7,0,9,False,False,LEFT,253,0.7000000000000001
UP,7,6,0,9,False,False,UP,254,1.6
A,7,6,0,9,False,False,A,255,1.5
B,7,6,0,9,False,False,B,256,1.4
DOWN,7,7,0,9,False,False,DOWN,257,1.2999999999999998
UP,7,6,0,9,False,False,UP,258,1.1999999999999997
B,7,6,0,9,False,False,B,259,1.0999999999999996
B,7,6,0,9,False,False,B,260,0.9999999999999997
RIGHT,8,6,0,9,False,False,RIGHT,261,1.8999999999999995
RIGHT,9,6,0,9,False,False,RIGHT,262,2.7999999999999994
DOWN,9,7,0,9,False,False,DOWN,263,3.6999999999999993
RIGHT,10,7,0,9,False,False,RIGHT,264,4.6
LEFT,9,7,0,9,False,False,LEFT,265,4.5
LEFT,8,7,0,9,False,False,LEFT,266,5.4
A,8,6,0,9,False,False,A,268,5.300000000000001
B,8,6,0,9,False,False,B,269,5.200000000000001
RIGHT,9,6,0,9,False,False,RIGHT,270,5.100000000000001
LEFT,8,6,0,9,False,False,LEFT,271,5.000000000000002
A,8,6,0,9,False,False,A,272,4.900000000000002
B,8,6,0,9,False,False,B,273,4.8000000000000025
RIGHT,9,6,0,9,False,False,RIGHT,274,4.700000000000003
A,9,6,0,9,False,False,A,275,4.600000000000003
LEFT,8,6,0,9,False,False,LEFT,276,4.5000000000000036
LEFT,7,6,0,9,False,False,LEFT,277,4.400000000000004
RIGHT,8,6,0,9,False,False,RIGHT,278,4.300000000000004
A,8,6,0,9,False,False,A,279,4.200000000000005
LEFT,7,6,0,9,False,False,LEFT,280,4.100000000000005
UP,7,5,0,9,False,False,UP,281,5.000000000000005
