inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
RIGHT,10,10,0,9,False,False,RIGHT,1,0.9
DOWN,10,11,0,9,False,False,DOWN,2,1.7999999999999998
RIGHT,11,11,0,9,False,False,RIGHT,3,2.6999999999999997
B,11,11,0,9,False,False,B,4,2.5999999999999996
A,11,11,0,9,False,False,A,5,2.4999999999999996
UP,11,10,0,9,False,False,UP,6,3.3999999999999995
UP,11,9,0,9,False,False,UP,7,4.3
UP,11,8,0,9,False,False,UP,8,5.2
A,11,8,0,9,False,False,A,9,5.1000000000000005
A,11,8,0,9,False,False,A,10,5.000000000000001
RIGHT,11,8,0,9,False,False,RIGHT,11,4.900000000000001
LEFT,10,8,0,9,False,False,LEFT,12,5.800000000000002
RIGHT,11,8,0,9,False,False,RIGHT,13,5.700000000000002
UP,11,7,0,9,False,False,UP,14,6.600000000000002
DOWN,11,8,0,9,False,False,DOWN,15,6.500000000000003
B,11,8,0,9,False,False,B,16,6.400000000000003
RIGHT,11,8,0,9,False,False,RIGHT,17,6.300000000000003
UP,11,7,0,9,False,False,UP,18,6.200000000000004
LEFT,10,7,0,9,False,False,LEFT,19,7.100000000000004
A,10,7,0,9,False,False,A,20,7.000000000000004
RIGHT,11,7,0,9,False,False,RIGHT,21,6.900000000000005
A,11,7,0,9,False,False,A,22,6.800000000000005
A,11,7,0,9,False,False,A,23,6.7000000000000055
RIGHT,12,7,0,9,False,False,RIGHT,24,7.600000000000006
LEFT,11,7,0,9,False,False,LEFT,25,7.500000000000006
A,11,7,0,9,False,False,A,26,7.400000000000007
B,11,7,0,9,False,False,B,27,7.300000000000007
RIGHT,12,7,0,9,False,False,RIGHT,28,7.200000000000007
A,12,7,0,9,False,False,A,29,7.100000000000008
LEFT,11,7,0,9,False,False,LEFT,30,7.000000000000008
A,11,7,0,9,False,False,A,31,6.900000000000008
UP,11,6,0,9,False,False,UP,32,7.800000000000009
DOWN,11,7,0,9,False,False,DOWN,33,7.700000000000009
RIGHT,12,7,0,9,False,False,RIGHT,34,7.600000000000009
RIGHT,12,7,0,9,False,False,RIGHT,35,7.50000000000001
A,12,7,0,9,False,False,A,36,7.40000000000001
B,12,7,0,9,False,False,B,37,7.3000000000000105
RIGHT,12,7,0,9,False,False,RIGHT,38,7.200000000000011
B,12,7,0,9,False,False,B,39,7.100000000000011
UP,12,6,0,9,False,False,UP,40,8.000000000000012
DOWN,12,7,0,9,False,False,DOWN,41,7.900000000000013
LEFT,11,7,0,9,False,False,LEFT,42,7.800000000000013
RIGHT,12,7,0,9,False,False,RIGHT,43,7.7000000000000135
DOWN,12,7,0,9,False,False,DOWN,44,7.600000000000014
RIGHT,12,7,0,9,False,False,RIGHT,45,7.500000000000014
B,12,7,0,9,False,False,B,46,7.400000000000015
UP,12,6,0,9,False,False,UP,47,7.300000000000015
UP,12,5,0,9,False,False,UP,48,8.200000000000015
RIGHT,12,5,0,9,False,False,RIGHT,49,8.100000000000016
UP,12,4,0,9,False,False,UP,50,9.000000000000016
