inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
DOWN,5,10,0,9,False,False,DOWN,1,0.9
RIGHT,6,10,0,9,False,False,RIGHT,2,1.7999999999999998
UP,6,9,0,9,False,False,UP,3,2.6999999999999997
LEFT,5,9,0,9,False,False,LEFT,4,3.5999999999999996
UP,5,8,0,9,False,False,UP,5,4.5
UP,8,7,1,0,False,False,UP,6,5.4
UP,8,6,1,0,False,False,UP,7,6.300000000000001
LEFT,7,6,1,0,False,False,LEFT,8,7.200000000000001
RIGHT,8,6,1,0,False,False,RIGHT,9,7.100000000000001
DOWN,8,7,1,0,False,False,DOWN,10,7.000000000000002
RIGHT,9,7,1,0,False,False,RIGHT,11,7.900000000000002
RIGHT,10,7,1,0,False,False,RIGHT,12,8.800000000000002
RIGHT,10,7,1,0,False,False,RIGHT,13,8.700000000000003
RIGHT,10,7,1,0,False,False,RIGHT,14,8.600000000000003
DOWN,10,8,1,0,False,False,DOWN,15,9.500000000000004
RIGHT,10,8,1,0,False,False,RIGHT,16,9.400000000000004
DOWN,10,8,1,0,False,False,DOWN,17,9.300000000000004
RIGHT,10,8,1,0,False,False,RIGHT,18,9.200000000000005
DOWN,10,8,1,0,False,False,DOWN,19,9.100000000000005
LEFT,9,8,1,0,False,False,LEFT,20,10.000000000000005
LEFT,8,8,1,0,False,False,LEFT,21,10.900000000000006
LEFT,7,8,1,0,False,False,LEFT,22,11.800000000000006
DOWN,7,8,1,0,False,False,DOWN,23,11.700000000000006
RIGHT,8,8,1,0,False,False,RIGHT,24,11.600000000000007
DOWN,8,8,1,0,False,False,DOWN,25,11.500000000000007
RIGHT,6,9,0,9,False,False,RIGHT,26,11.400000000000007
RIGHT,7,9,0,9,False,False,RIGHT,27,12.300000000000008
RIGHT,8,9,0,9,False,False,RIGHT,28,13.200000000000008
UP,10,0,0,9,False,False,UP,29,14.100000000000009
UP,10,19,0,16,False,False,UP,30,65.00000000000001
UP,10,18,0,16,False,False,UP,31,65.90000000000002
UP,10,17,0,16,False,False,UP,32,66.80000000000003
LEFT,9,17,0,16,False,False,LEFT,33,67.70000000000003
LEFT,8,17,0,16,False,False,LEFT,34,68.60000000000004
LEFT,7,17,0,16,False,False,LEFT,35,69.50000000000004
LEFT,6,17,0,16,False,False,LEFT,36,70.40000000000005
DOWN,6,17,0,16,False,False,DOWN,37,70.30000000000005
DOWN,6,17,0,16,False,False,DOWN,38,70.20000000000006
LEFT,5,17,0,16,False,False,LEFT,39,71.10000000000007
LEFT,4,17,0,16,False,False,LEFT,40,72.00000000000007
LEFT,3,17,0,16,False,False,LEFT,41,72.90000000000008
UP,3,16,0,16,False,False,UP,42,73.80000000000008
LEFT,2,16,0,16,False,False,LEFT,43,74.70000000000009
UP,2,15,0,16,False,False,UP,44,75.6000000000001
RIGHT,2,15,0,16,False,False,RIGHT,45,75.5000000000001
RIGHT,2,15,0,16,True,False,RIGHT,46,75.4000000000001
A,2,15,0,16,True,False,A,47,75.30000000000011
RIGHT,2,15,0,16,True,False,RIGHT,48,75.20000000000012
DOWN,2,15,0,16,True,False,DOWN,49,75.10000000000012
A,2,15,0,16,True,False,A,50,75.00000000000013
A,2,15,0,16,True,False,A,51,74.90000000000013
RIGHT,3,15,0,16,False,False,RIGHT,52,75.80000000000014
RIGHT,4,15,0,16,False,False,RIGHT,53,76.70000000000014
DOWN,4,16,0,16,False,False,DOWN,54,77.60000000000015
DOWN,4,17,0,16,False,False,DOWN,55,77.50000000000016
RIGHT,5,17,0,16,False,False,RIGHT,56,77.40000000000016
RIGHT,6,17,0,16,False,False,RIGHT,57,77.30000000000017
RIGHT,7,17,0,16,False,False,RIGHT,58,77.20000000000017
RIGHT,8,17,0,16,False,False,RIGHT,59,77.10000000000018
RIGHT,9,17,0,16,False,False,RIGHT,60,77.00000000000018
RIGHT,10,17,0,16,False,False,RIGHT,61,76.90000000000019
RIGHT,11,17,0,16,False,False,RIGHT,62,77.8000000000002
DOWN,11,18,0,16,False,False,DOWN,63,78.7000000000002
RIGHT,11,18,0,16,False,False,RIGHT,64,78.60000000000021
DOWN,11,19,0,16,False,False,DOWN,65,79.50000000000021
DOWN,11,0,0,9,False,False,DOWN,66,80.40000000000022
DOWN,11,1,0,9,False,False,DOWN,67,81.30000000000022
DOWN,11,2,0,9,False,False,DOWN,68,82.20000000000023
RIGHT,12,2,0,9,False,False,RIGHT,69,83.10000000000024
RIGHT,13,2,0,9,False,False,RIGHT,70,84.00000000000024
RIGHT,14,2,0,9,False,False,RIGHT,71,84.90000000000025
RIGHT,15,2,0,9,False,False,RIGHT,72,85.80000000000025
RIGHT,16,2,0,9,False,False,RIGHT,73,86.70000000000026
RIGHT,17,2,0,9,False,False,RIGHT,74,87.60000000000026
RIGHT,17,2,0,9,False,False,RIGHT,75,87.50000000000027
UP,17,2,0,9,False,False,UP,76,87.40000000000028
RIGHT,17,2,0,9,False,False,RIGHT,77,87.30000000000028
UP,17,2,0,9,False,False,UP,78,87.20000000000029
RIGHT,17,2,0,9,False,False,RIGHT,79,87.10000000000029
UP,17,2,0,9,False,False,UP,80,87.0000000000003
RIGHT,17,2,0,9,False,False,RIGHT,81,86.9000000000003
UP,17,2,0,9,False,False,UP,82,86.80000000000031
