pos_x,pos_y,map_bank,map_num,in_battle,direction,action,q_value
9,10,0,9,0,1,0,3.311368984254983
9,10,0,9,0,1,1,0.22463999999999917
9,10,0,9,0,1,2,1.687409999999989
9,10,0,9,0,1,3,0.0
9,10,0,9,0,1,4,0.09000000000000001
9,10,0,9,0,1,5,1.5778199999999898
9,9,0,9,0,0,0,1.964004165170003
9,9,0,9,0,0,1,3.3279881982273336
9,9,0,9,0,0,2,0.25999999999999995
9,9,0,9,0,0,3,1.0200000000000016
9,9,0,9,0,0,4,0.16999999999999998
9,9,0,9,0,0,5,0.0
8,9,0,9,0,2,0,2.4010023399999922
8,9,0,9,0,2,1,3.262768004719989
8,9,0,9,0,2,2,1.727307704786259
8,9,0,9,0,2,3,0.0
8,9,0,9,0,2,4,4.2394616467099855
8,9,0,9,0,2,5,0.0
8,8,0,9,0,0,0,2.4259019670775426
8,8,0,9,0,0,1,0.0
8,8,0,9,0,0,2,0.31999999999999995
8,8,0,9,0,0,3,0.0
8,8,0,9,0,0,4,0.3636599999999999
8,8,0,9,0,0,5,0.33999999999999997
8,8,0,9,0,2,0,3.879584641550003
8,8,0,9,0,2,1,0.0
8,8,0,9,0,2,2,0.0
8,8,0,9,0,2,3,0.0
8,8,0,9,0,2,4,0.0
8,8,0,9,0,2,5,0.30999999999999994
8,7,0,9,0,0,0,2.194349999999992
8,7,0,9,0,0,1,1.7289000000000012
8,7,0,9,0,0,2,2.2930544499999996
8,7,0,9,0,0,3,0.0
8,7,0,9,0,0,4,3.8979996674500024
8,7,0,9,0,0,5,0.7696099999999999
7,7,0,9,0,2,0,0.0
7,7,0,9,0,2,1,9.12525365517296
7,7,0,9,0,2,2,3.6824555055227632
7,7,0,9,0,2,3,0.550000000000001
7,7,0,9,0,2,4,2.79761218753789
7,7,0,9,0,2,5,2.328988441057048
7,7,0,9,0,1,0,16.360818555256685
7,7,0,9,0,1,1,3.5678247940645953
7,7,0,9,0,1,2,6.3686027807503
7,7,0,9,0,1,3,12.590884924586101
7,7,0,9,0,1,4,9.6797134850821
7,7,0,9,0,1,5,10.5514768629475
7,6,0,9,0,0,0,6.998014133888053
