inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
PRINT_POSITION,2,16,0,16,False,False,NIL,0,0
RIGHT,2,16,0,16,False,False,RIGHT,1,50.9
LEFT,2,16,0,16,False,False,LEFT,2,50.8
UP,2,16,0,16,False,False,UP,3,50.699999999999996
A,2,16,0,16,False,False,A,4,50.599999999999994
A,2,16,0,16,False,False,A,5,50.49999999999999
A,2,16,0,16,False,False,A,6,50.39999999999999
A,2,16,0,16,False,False,A,7,50.29999999999999
START,2,16,0,16,False,False,START,8,50.19999999999999
A,2,16,0,16,False,False,A,9,50.09999999999999
A,2,16,0,16,False,False,A,10,49.999999999999986
A,2,16,0,16,False,False,A,11,49.899999999999984
A,2,16,0,16,False,False,A,12,49.79999999999998
A,2,16,0,16,False,False,A,13,49.69999999999998
A,2,16,0,16,False,False,A,14,49.59999999999998
A,2,16,0,16,False,False,A,15,49.49999999999998
A,2,16,0,16,False,False,A,16,49.39999999999998
A,2,16,0,16,False,False,A,17,49.299999999999976
A,2,16,0,16,False,False,A,18,49.199999999999974
RIGHT,3,16,0,16,False,False,RIGHT,19,50.09999999999997
