inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
UP,10,8,0,9,False,False,UP,1,0.9
UP,10,7,0,9,False,False,UP,2,1.7999999999999998
UP,10,6,0,9,False,False,UP,3,2.6999999999999997
UP,10,5,0,9,False,False,UP,4,3.5999999999999996
UP,10,4,0,9,False,False,UP,5,4.5
UP,10,3,0,9,False,False,UP,6,5.4
UP,10,2,0,9,False,False,UP,7,6.300000000000001
UP,10,1,0,9,False,False,UP,8,7.200000000000001
UP,10,0,0,9,False,False,UP,9,8.100000000000001
UP,10,19,0,16,False,False,UP,10,59.0
UP,10,18,0,16,False,False,UP,11,59.9
LEFT,9,18,0,16,False,False,LEFT,12,60.8
UP,9,17,0,16,False,False,UP,13,61.699999999999996
LEFT,8,17,0,16,False,False,LEFT,14,62.599999999999994
LEFT,7,17,0,16,False,False,LEFT,15,63.49999999999999
LEFT,6,17,0,16,False,False,LEFT,16,64.4
LEFT,5,17,0,16,False,False,LEFT,17,65.30000000000001
LEFT,4,17,0,16,False,False,LEFT,18,66.20000000000002
UP,4,16,0,16,False,False,UP,19,67.10000000000002
UP,4,15,0,16,False,False,UP,20,68.00000000000003
LEFT,3,15,0,16,False,False,LEFT,21,68.90000000000003
LEFT,2,15,0,16,False,False,LEFT,22,69.80000000000004
RIGHT,3,15,0,16,False,False,RIGHT,23,69.70000000000005
RIGHT,4,15,0,16,False,False,RIGHT,24,69.60000000000005
RIGHT,5,15,0,16,False,False,RIGHT,25,70.50000000000006
DOWN,5,16,0,16,False,False,DOWN,26,71.40000000000006
LEFT,4,16,0,16,False,False,LEFT,27,71.30000000000007
LEFT,3,16,0,16,False,False,LEFT,28,72.20000000000007
LEFT,2,16,0,16,False,False,LEFT,29,73.10000000000008
UP,2,15,0,16,False,False,UP,30,73.00000000000009
UP,2,14,0,16,False,False,UP,31,73.90000000000009
RIGHT,3,14,0,16,False,False,RIGHT,32,74.8000000000001
DOWN,3,15,0,16,False,False,DOWN,33,74.7000000000001
LEFT,2,15,0,16,False,False,LEFT,34,74.60000000000011
LEFT,1,15,0,16,False,False,LEFT,35,75.50000000000011
RIGHT,2,15,0,16,False,False,RIGHT,36,75.40000000000012
RIGHT,2,15,0,16,False,False,RIGHT,37,75.30000000000013
RIGHT,2,15,0,16,False,False,RIGHT,38,75.20000000000013
RIGHT,2,15,0,16,True,False,RIGHT,39,75.10000000000014
RIGHT,2,15,0,16,True,False,RIGHT,40,75.00000000000014
RIGHT,2,15,0,16,True,False,RIGHT,41,74.90000000000015
RIGHT,2,15,0,16,True,False,RIGHT,42,74.80000000000015
DOWN,2,15,0,16,True,False,DOWN,43,74.70000000000016
LEFT,2,15,0,16,True,False,LEFT,44,74.60000000000016
UP,2,15,0,16,True,False,UP,45,74.50000000000017
DOWN,2,15,0,16,True,False,DOWN,46,74.40000000000018
DOWN,2,15,0,16,True,False,DOWN,47,74.30000000000018
DOWN,2,15,0,16,True,False,DOWN,48,74.20000000000019
A,2,15,0,16,True,False,A,49,74.1000000000002
DOWN,2,15,0,16,True,False,DOWN,50,74.0000000000002
RIGHT,2,15,0,16,True,False,RIGHT,51,73.9000000000002
A,2,15,0,16,True,False,A,52,73.80000000000021
A,2,15,0,16,True,False,A,53,73.70000000000022
A,2,15,0,16,False,False,A,54,73.60000000000022
RIGHT,2,15,0,16,False,False,RIGHT,55,73.50000000000023
RIGHT,3,15,0,16,False,False,RIGHT,56,73.40000000000023
RIGHT,4,15,0,16,False,False,RIGHT,57,73.30000000000024
RIGHT,5,15,0,16,False,False,RIGHT,58,73.20000000000024
RIGHT,6,15,0,16,False,False,RIGHT,59,74.10000000000025
UP,6,14,0,16,False,False,UP,60,75.00000000000026
DOWN,6,15,0,16,False,False,DOWN,61,74.90000000000026
RIGHT,7,15,0,16,False,False,RIGHT,62,75.80000000000027
UP,7,14,0,16,False,False,UP,63,76.70000000000027
UP,7,13,0,16,False,False,UP,64,77.60000000000028
