inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps
DOWN,10,10,0,9,False,False,DOWN,215
SELECT,10,10,0,9,False,False,SELECT,216
A,10,10,0,9,False,False,A,217
DOWN,10,10,0,9,False,False,DOWN,218
L,10,10,0,9,False,False,L,219
RIGHT,10,10,0,9,False,False,RIGHT,220
SELECT,10,10,0,9,False,False,SELECT,221
B,10,10,0,9,False,False,B,222
R,10,10,0,9,False,False,R,223
A,10,10,0,9,False,False,A,224
SELECT,10,10,0,9,False,False,SELECT,225
DOWN,10,10,0,9,False,False,DOWN,226
START,10,10,0,9,False,False,START,227
LEFT,10,10,0,9,False,False,LEFT,228
DOWN,10,10,0,9,False,False,DOWN,229
A,10,10,0,9,False,False,A,230
UP,10,9,0,9,False,False,UP,231
START,10,9,0,9,False,False,START,232
UP,10,8,0,9,False,False,UP,233
RIGHT,11,8,0,9,False,False,RIGHT,234
RIGHT,11,8,0,9,False,False,RIGHT,235
UP,11,7,0,9,False,False,UP,236
DOWN,11,8,0,9,False,False,DOWN,237
UP,11,7,0,9,False,False,UP,238
DOWN,11,8,0,9,False,False,DOWN,239
DOWN,11,9,0,9,False,False,DOWN,240
A,11,9,0,9,False,False,A,241
START,11,9,0,9,False,False,START,242
L,11,9,0,9,False,False,L,243
RIGHT,11,9,0,9,False,False,RIGHT,244
SELECT,11,9,0,9,False,False,SELECT,245
R,11,9,0,9,False,False,R,246
L,11,9,0,9,False,False,L,247
SELECT,11,9,0,9,False,False,SELECT,248
SELECT,11,9,0,9,False,False,SELECT,249
DOWN,11,9,0,9,False,False,DOWN,250
RIGHT,11,9,0,9,False,False,RIGHT,251
SELECT,11,9,0,9,False,False,SELECT,252
RIGHT,11,9,0,9,False,False,RIGHT,253
L,11,9,0,9,False,False,L,254
SELECT,11,9,0,9,False,False,SELECT,255
L,11,9,0,9,False,False,L,256
R,11,9,0,9,False,False,R,257
B,11,9,0,9,False,False,B,258
B,11,9,0,9,False,False,B,259
A,11,9,0,9,False,False,A,260
LEFT,10,9,0,9,False,False,LEFT,261
LEFT,9,9,0,9,False,False,LEFT,262
A,9,9,0,9,False,False,A,263
RIGHT,10,9,0,9,False,False,RIGHT,264
START,10,9,0,9,False,False,START,265
START,10,9,0,9,False,False,START,266
RIGHT,10,9,0,9,False,False,RIGHT,267
A,10,9,0,9,False,False,A,268
SELECT,10,9,0,9,False,False,SELECT,269
RIGHT,10,9,0,9,False,False,RIGHT,270
LEFT,10,9,0,9,False,False,LEFT,271
B,10,9,0,9,False,False,B,272
L,10,9,0,9,False,False,L,273
L,10,9,0,9,False,False,L,274
DOWN,10,9,0,9,False,False,DOWN,275
L,10,9,0,9,False,False,L,276
LEFT,10,9,0,9,False,False,LEFT,277
A,10,9,0,9,False,False,A,278
UP,10,8,0,9,False,False,UP,279
START,10,8,0,9,False,False,START,280
B,10,8,0,9,False,False,B,281
DOWN,10,9,0,9,False,False,DOWN,282
LEFT,9,9,0,9,False,False,LEFT,283
DOWN,9,10,0,9,False,False,DOWN,284
R,9,10,0,9,False,False,R,285
START,9,10,0,9,False,False,START,286
START,9,10,0,9,False,False,START,287
R,9,10,0,9,False,False,R,288
LEFT,8,10,0,9,False,False,LEFT,289
L,8,10,0,9,False,False,L,290
R,8,10,0,9,False,False,R,291
R,8,10,0,9,False,False,R,292
RIGHT,9,10,0,9,False,False,RIGHT,293
B,9,10,0,9,False,False,B,294
SELECT,9,10,0,9,False,False,SELECT,295
UP,9,10,0,9,False,False,UP,296
B,9,10,0,9,False,False,B,297
START,9,10,0,9,False,False,START,298
A,9,10,0,9,False,False,A,299
UP,9,9,0,9,False,False,UP,300
B,9,9,0,9,False,False,B,301
B,9,9,0,9,False,False,B,302
L,9,9,0,9,False,False,L,303
L,9,9,0,9,False,False,L,304
LEFT,8,9,0,9,False,False,LEFT,305
DOWN,8,10,0,9,False,False,DOWN,306
UP,8,9,0,9,False,False,UP,307
START,8,9,0,9,False,False,START,308
B,8,9,0,9,False,False,B,309
L,8,9,0,9,False,False,L,310
A,8,9,0,9,False,False,A,311
A,8,9,0,9,False,False,A,312
LEFT,7,9,0,9,False,False,LEFT,313
RIGHT,8,9,0,9,False,False,RIGHT,314
LEFT,7,9,0,9,False,False,LEFT,315
SELECT,7,9,0,9,False,False,SELECT,316
L,7,9,0,9,False,False,L,317
L,7,9,0,9,False,False,L,318
L,7,9,0,9,False,False,L,319
DOWN,7,9,0,9,False,False,DOWN,320
RIGHT,7,9,0,9,False,False,RIGHT,321
LEFT,7,9,0,9,False,False,LEFT,322
RIGHT,7,9,0,9,False,False,RIGHT,323
SELECT,7,9,0,9,False,False,SELECT,324
DOWN,7,9,0,9,False,False,DOWN,325
B,7,9,0,9,False,False,B,326
UP,7,9,0,9,False,False,UP,327
A,7,9,0,9,False,False,A,328
DOWN,7,9,0,9,False,False,DOWN,329
START,7,9,0,9,False,False,START,330
SELECT,7,9,0,9,False,False,SELECT,331
SELECT,7,9,0,9,False,False,SELECT,332
DOWN,7,9,0,9,False,False,DOWN,333
LEFT,7,9,0,9,False,False,LEFT,334
L,7,9,0,9,False,False,L,335
DOWN,7,9,0,9,False,False,DOWN,336
START,7,9,0,9,False,False,START,337
A,7,9,0,9,False,False,A,338
B,7,9,0,9,False,False,B,339
A,7,9,0,9,False,False,A,340
SELECT,7,9,0,9,False,False,SELECT,341
RIGHT,7,9,0,9,False,False,RIGHT,342
L,7,9,0,9,False,False,L,343
A,7,9,0,9,False,False,A,344
A,7,9,0,9,False,False,A,345
L,7,9,0,9,False,False,L,346
RIGHT,7,9,0,9,False,False,RIGHT,347
START,7,9,0,9,False,False,START,348
SELECT,7,9,0,9,False,False,SELECT,349
UP,7,9,0,9,False,False,UP,350
B,7,9,0,9,False,False,B,351
R,7,9,0,9,False,False,R,352
A,7,9,0,9,False,False,A,353
SELECT,7,9,0,9,False,False,SELECT,354
START,7,9,0,9,False,False,START,355
RIGHT,7,9,0,9,False,False,RIGHT,356
LEFT,7,9,0,9,False,False,LEFT,357
A,7,9,0,9,False,False,A,358
B,7,9,0,9,False,False,B,359
B,7,9,0,9,False,False,B,360
R,7,9,0,9,False,False,R,361
R,7,9,0,9,False,False,R,362
LEFT,6,9,0,9,False,False,LEFT,363
SELECT,6,9,0,9,False,False,SELECT,364
SELECT,6,9,0,9,False,False,SELECT,365
RIGHT,6,9,0,9,False,False,RIGHT,366
LEFT,6,9,0,9,False,False,LEFT,367
LEFT,6,9,0,9,False,False,LEFT,368
B,6,9,0,9,False,False,B,369
START,6,9,0,9,False,False,START,370
A,6,9,0,9,False,False,A,371
UP,6,9,0,9,False,False,UP,372
B,6,9,0,9,False,False,B,373
DOWN,6,10,0,9,False,False,DOWN,374
DOWN,6,11,0,9,False,False,DOWN,375
B,6,11,0,9,False,False,B,376
UP,6,10,0,9,False,False,UP,377
A,6,10,0,9,False,False,A,378
L,6,10,0,9,False,False,L,379
L,6,10,0,9,False,False,L,380
LEFT,5,10,0,9,False,False,LEFT,381
RIGHT,6,10,0,9,False,False,RIGHT,382
START,6,10,0,9,False,False,START,383
RIGHT,6,10,0,9,False,False,RIGHT,384
LEFT,6,10,0,9,False,False,LEFT,385
L,6,10,0,9,False,False,L,386
A,6,10,0,9,False,False,A,387
A,6,10,0,9,False,False,A,388
A,6,10,0,9,False,False,A,389
LEFT,5,10,0,9,False,False,LEFT,390
RIGHT,6,10,0,9,False,False,RIGHT,391
RIGHT,7,10,0,9,False,False,RIGHT,392
A,7,10,0,9,False,False,A,393
LEFT,6,10,0,9,False,False,LEFT,394
RIGHT,7,10,0,9,False,False,RIGHT,395
LEFT,6,10,0,9,False,False,LEFT,396
LEFT,5,10,0,9,False,False,LEFT,397
L,5,10,0,9,False,False,L,398
SELECT,5,10,0,9,False,False,SELECT,399
START,5,10,0,9,False,False,START,400
A,5,10,0,9,False,False,A,401
A,5,10,0,9,False,False,A,402
RIGHT,5,10,0,9,False,False,RIGHT,403
UP,5,10,0,9,False,False,UP,404
LEFT,5,10,0,9,False,False,LEFT,405
R,5,10,0,9,False,False,R,406
LEFT,5,10,0,9,False,False,LEFT,407
SELECT,5,10,0,9,False,False,SELECT,408
