x,y,mapBank,mapNum,isInBattle,isDone,lastAction,currentSteps
9,9,0,9,False,False,LEFT,1
8,9,0,9,False,False,LEFT,2
8,10,0,9,False,False,DOWN,3
8,9,0,9,False,False,UP,4
7,9,0,9,False,False,LEFT,5
7,10,0,9,False,False,DOWN,6
8,10,0,9,False,False,RIGHT,7
8,10,0,9,False,False,B,8
8,11,0,9,False,False,DOWN,9
8,11,0,9,False,False,SELECT,10
8,12,0,9,False,False,DOWN,11
8,12,0,9,False,False,SELECT,12
8,12,0,9,False,False,DOWN,13
8,12,0,9,False,False,RIGHT,14
8,12,0,9,False,False,LEFT,15
8,12,0,9,False,False,SELECT,16
8,12,0,9,False,False,SELECT,17
8,12,0,9,False,False,L,18
8,12,0,9,False,False,START,19
8,12,0,9,False,False,L,20
8,12,0,9,False,False,START,21
8,12,0,9,False,False,UP,22
8,12,0,9,False,False,A,23
8,12,0,9,False,False,START,24
8,12,0,9,False,False,A,25
8,12,0,9,False,False,UP,26
8,12,0,9,False,False,B,27
8,12,0,9,False,False,START,28
8,12,0,9,False,False,DOWN,29
8,12,0,9,False,False,A,30
8,12,0,9,False,False,A,31
8,12,0,9,False,False,A,32
8,12,0,9,False,False,L,33
8,12,0,9,False,False,A,34
8,12,0,9,False,False,RIGHT,35
8,12,0,9,False,False,B,36
8,12,0,9,False,False,LEFT,37
8,12,0,9,False,False,SELECT,38
8,12,0,9,False,False,R,39
8,12,0,9,False,False,B,40
8,11,0,9,False,False,UP,41
8,10,0,9,False,False,UP,42
8,11,0,9,False,False,DOWN,43
8,11,0,9,False,False,R,44
8,11,0,9,False,False,L,45
7,11,0,9,False,False,LEFT,46
7,11,0,9,False,False,A,47
6,11,0,9,False,False,LEFT,48
6,10,0,9,False,False,UP,49
6,10,0,9,False,False,B,50
5,10,0,9,False,False,LEFT,51
5,9,0,9,False,False,UP,52
5,9,0,9,False,False,START,53
5,9,0,9,False,False,RIGHT,54
5,9,0,9,False,False,DOWN,55
5,9,0,9,False,False,L,56
5,9,0,9,False,False,LEFT,57
5,9,0,9,False,False,R,58
5,9,0,9,False,False,RIGHT,59
5,9,0,9,False,False,B,60
5,9,0,9,False,False,START,61
5,9,0,9,False,False,UP,62
5,9,0,9,False,False,R,63
5,9,0,9,False,False,UP,64
5,9,0,9,False,False,DOWN,65
5,9,0,9,False,False,A,66
5,9,0,9,False,False,DOWN,67
5,9,0,9,False,False,R,68
5,9,0,9,False,False,SELECT,69
5,9,0,9,False,False,UP,70
5,9,0,9,False,False,DOWN,71
5,9,0,9,False,False,DOWN,72
5,9,0,9,False,False,DOWN,73
5,9,0,9,False,False,B,74
5,9,0,9,False,False,UP,75
5,9,0,9,False,False,UP,76
5,9,0,9,False,False,A,77
5,9,0,9,False,False,A,78
5,9,0,9,False,False,LEFT,79
5,9,0,9,False,False,A,80
5,9,0,9,False,False,B,81
5,9,0,9,False,False,B,82
5,9,0,9,False,False,LEFT,83
5,9,0,9,False,False,DOWN,84
5,9,0,9,False,False,START,85
5,9,0,9,False,False,L,86
5,9,0,9,False,False,B,87
4,9,0,9,False,False,LEFT,88
4,9,0,9,False,False,A,89
3,9,0,9,False,False,LEFT,90
3,9,0,9,False,False,START,91
3,9,0,9,False,False,UP,92
3,9,0,9,False,False,RIGHT,93
3,9,0,9,False,False,SELECT,94
3,9,0,9,False,False,A,95
3,9,0,9,False,False,L,96
3,9,0,9,False,False,RIGHT,97
3,9,0,9,False,False,START,98
3,9,0,9,False,False,LEFT,99
3,9,0,9,False,False,R,100
3,9,0,9,False,False,RIGHT,101
3,9,0,9,False,False,L,102
3,9,0,9,False,False,A,103
3,9,0,9,False,False,LEFT,104
3,9,0,9,False,False,LEFT,105
3,9,0,9,False,False,R,106
3,9,0,9,False,False,START,107
3,9,0,9,False,False,L,108
3,9,0,9,False,False,B,109
3,9,0,9,False,False,UP,110
3,9,0,9,False,False,R,111
3,9,0,9,False,False,B,112
3,9,0,9,False,False,LEFT,113
3,9,0,9,False,False,DOWN,114
3,9,0,9,False,False,UP,115
3,9,0,9,False,False,LEFT,116
3,9,0,9,False,False,L,117
3,9,0,9,False,False,RIGHT,118
3,9,0,9,False,False,RIGHT,119
3,9,0,9,False,False,RIGHT,120
3,9,0,9,False,False,UP,121
3,9,0,9,False,False,L,122
3,9,0,9,False,False,A,123
3,9,0,9,False,False,B,124
3,9,0,9,False,False,SELECT,125
3,9,0,9,False,False,START,126
3,9,0,9,False,False,RIGHT,127
3,9,0,9,False,False,A,128
3,9,0,9,False,False,A,129
3,10,0,9,False,False,DOWN,130
3,10,0,9,False,False,A,131
3,10,0,9,False,False,START,132
3,10,0,9,False,False,R,133
3,10,0,9,False,False,RIGHT,134
3,10,0,9,False,False,RIGHT,135
3,10,0,9,False,False,LEFT,136
3,10,0,9,False,False,A,137
3,10,0,9,False,False,UP,138
3,10,0,9,False,False,DOWN,139
3,10,0,9,False,False,START,140
3,10,0,9,False,False,A,141
3,10,0,9,False,False,LEFT,142
3,10,0,9,False,False,A,143
3,10,0,9,False,False,B,144
3,10,0,9,False,False,RIGHT,145
3,10,0,9,False,False,R,146
3,10,0,9,False,False,R,147
3,10,0,9,False,False,UP,148
3,10,0,9,False,False,B,149
3,10,0,9,False,False,A,150
3,10,0,9,False,False,RIGHT,151
3,10,0,9,False,False,SELECT,152
3,10,0,9,False,False,B,153
3,10,0,9,False,False,SELECT,154
3,10,0,9,False,False,UP,155
3,10,0,9,False,False,UP,156
3,10,0,9,False,False,LEFT,157
3,10,0,9,False,False,B,158
3,10,0,9,False,False,SELECT,159
3,10,0,9,False,False,UP,160
3,10,0,9,False,False,LEFT,161
3,10,0,9,False,False,SELECT,162
3,10,0,9,False,False,LEFT,163
3,10,0,9,False,False,RIGHT,164
3,10,0,9,False,False,START,165
3,10,0,9,False,False,L,166
3,10,0,9,False,False,A,167
4,10,0,9,False,False,RIGHT,168
4,11,0,9,False,False,DOWN,169
4,11,0,9,False,False,B,170
4,11,0,9,False,False,A,171
4,11,0,9,False,False,B,172
4,11,0,9,False,False,L,173
4,11,0,9,False,False,SELECT,174
4,11,0,9,False,False,START,175
4,11,0,9,False,False,A,176
4,11,0,9,False,False,L,177
4,11,0,9,False,False,RIGHT,178
4,11,0,9,False,False,LEFT,179
4,11,0,9,False,False,DOWN,180
4,11,0,9,False,False,UP,181
4,11,0,9,False,False,LEFT,182
4,11,0,9,False,False,UP,183
4,11,0,9,False,False,R,184
4,11,0,9,False,False,R,185
4,11,0,9,False,False,DOWN,186
4,11,0,9,False,False,RIGHT,187
4,11,0,9,False,False,UP,188
4,11,0,9,False,False,A,189
4,11,0,9,False,False,R,190
4,12,0,9,False,False,DOWN,191
4,12,0,9,False,False,START,192
4,12,0,9,False,False,UP,193
4,12,0,9,False,False,B,194
4,12,0,9,False,False,L,195
4,12,0,9,False,False,SELECT,196
4,12,0,9,False,False,LEFT,197
4,12,0,9,False,False,SELECT,198
4,12,0,9,False,False,LEFT,199
4,12,0,9,False,False,B,200
4,12,0,9,False,False,START,201
4,12,0,9,False,False,A,202
4,12,0,9,False,False,SELECT,203
4,12,0,9,False,False,SELECT,204
4,12,0,9,False,False,L,205
4,12,0,9,False,False,LEFT,206
4,12,0,9,False,False,R,207
4,12,0,9,False,False,RIGHT,208
4,12,0,9,False,False,SELECT,209
4,12,0,9,False,False,SELECT,210
4,12,0,9,False,False,RIGHT,211
4,12,0,9,False,False,DOWN,212
4,12,0,9,False,False,L,213
4,12,0,9,False,False,L,214
4,12,0,9,False,False,RIGHT,215
4,12,0,9,False,False,UP,216
4,12,0,9,False,False,RIGHT,217
4,12,0,9,False,False,B,218
4,12,0,9,False,False,R,219
4,12,0,9,False,False,START,220
4,12,0,9,False,False,DOWN,221
4,12,0,9,False,False,DOWN,222
4,12,0,9,False,False,R,223
4,12,0,9,False,False,L,224
4,12,0,9,False,False,DOWN,225
4,12,0,9,False,False,R,226
4,12,0,9,False,False,DOWN,227
4,12,0,9,False,False,L,228
4,12,0,9,False,False,RIGHT,229
4,12,0,9,False,False,B,230
4,12,0,9,False,False,START,231
4,12,0,9,False,False,L,232
4,12,0,9,False,False,RIGHT,233
4,12,0,9,False,False,RIGHT,234
4,12,0,9,False,False,SELECT,235
4,12,0,9,False,False,LEFT,236
4,12,0,9,False,False,A,237
4,12,0,9,False,False,B,238
4,12,0,9,False,False,DOWN,239
4,12,0,9,False,False,A,240
4,12,0,9,False,False,R,241
4,12,0,9,False,False,B,242
3,12,0,9,False,False,LEFT,243
3,12,0,9,False,False,B,244
3,12,0,9,False,False,DOWN,245
4,12,0,9,False,False,RIGHT,246
4,12,0,9,False,False,START,247
4,12,0,9,False,False,LEFT,248
4,12,0,9,False,False,R,249
4,12,0,9,False,False,UP,250
4,12,0,9,False,False,B,251
4,12,0,9,False,False,SELECT,252
4,12,0,9,False,False,SELECT,253
4,12,0,9,False,False,B,254
4,12,0,9,False,False,SELECT,255
4,12,0,9,False,False,START,256
4,12,0,9,False,False,DOWN,257
4,12,0,9,False,False,A,258
4,12,0,9,False,False,B,259
4,12,0,9,False,False,START,260
4,12,0,9,False,False,START,261
4,12,0,9,False,False,L,262
3,12,0,9,False,False,LEFT,263
3,12,0,9,False,False,R,264
3,12,0,9,False,False,B,265
3,12,0,9,False,False,DOWN,266
2,12,0,9,False,False,LEFT,267
2,12,0,9,False,False,R,268
3,12,0,9,False,False,RIGHT,269
4,12,0,9,False,False,RIGHT,270
4,12,0,9,False,False,B,271
