inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
RIGHT,9,10,0,9,False,False,RIGHT,84,0.9
RIGHT,10,10,0,9,False,False,RIGHT,85,1.7999999999999998
RIGHT,11,10,0,9,False,False,RIGHT,86,2.6999999999999997
RIGHT,12,10,0,9,False,False,RIGHT,87,3.5999999999999996
DOWN,12,11,0,9,False,False,DOWN,88,4.5
UP,12,10,0,9,False,False,UP,89,4.4
RIGHT,13,10,0,9,False,False,RIGHT,90,5.300000000000001
B,13,10,0,9,False,False,B,91,5.200000000000001
LEFT,12,10,0,9,False,False,LEFT,92,5.100000000000001
RIGHT,13,10,0,9,False,False,RIGHT,93,5.000000000000002
B,13,10,0,9,False,False,B,94,4.900000000000002
B,13,10,0,9,False,False,B,95,4.8000000000000025
LEFT,12,10,0,9,False,False,LEFT,96,4.700000000000003
UP,12,9,0,9,False,False,UP,97,5.600000000000003
RIGHT,13,9,0,9,False,False,RIGHT,98,6.5000000000000036
A,13,9,0,9,False,False,A,99,6.400000000000004
DOWN,13,10,0,9,False,False,DOWN,100,6.300000000000004
B,13,10,0,9,False,False,B,101,6.200000000000005
DOWN,13,11,0,9,False,False,DOWN,102,7.100000000000005
LEFT,12,11,0,9,False,False,LEFT,103,7.000000000000005
LEFT,11,11,0,9,False,False,LEFT,104,7.900000000000006
B,11,11,0,9,False,False,B,105,7.800000000000006
B,11,11,0,9,False,False,B,106,7.700000000000006
B,11,11,0,9,False,False,B,107,7.600000000000007
RIGHT,12,11,0,9,False,False,RIGHT,108,7.500000000000007
LEFT,11,11,0,9,False,False,LEFT,109,7.4000000000000075
A,11,11,0,9,False,False,A,110,7.300000000000008
UP,11,10,0,9,False,False,UP,111,7.200000000000008
DOWN,11,11,0,9,False,False,DOWN,112,7.1000000000000085
RIGHT,12,11,0,9,False,False,RIGHT,113,7.000000000000009
RIGHT,13,11,0,9,False,False,RIGHT,114,6.900000000000009
A,13,11,0,9,False,False,A,115,6.80000000000001
RIGHT,14,11,0,9,False,False,RIGHT,116,7.70000000000001
DOWN,14,12,0,9,False,False,DOWN,117,8.60000000000001
RIGHT,15,12,0,9,False,False,RIGHT,118,9.50000000000001
LEFT,14,12,0,9,False,False,LEFT,119,9.400000000000011
LEFT,13,12,0,9,False,False,LEFT,120,10.300000000000011
A,13,12,0,9,False,False,A,121,10.200000000000012
B,13,12,0,9,False,False,B,122,10.100000000000012
UP,13,11,0,9,False,False,UP,123,10.000000000000012
DOWN,13,12,0,9,False,False,DOWN,124,9.900000000000013
DOWN,13,13,0,9,False,False,DOWN,125,10.800000000000013
DOWN,13,14,0,9,False,False,DOWN,126,11.700000000000014
DOWN,13,15,0,9,False,False,DOWN,127,12.600000000000014
