inputtedAction,x,y,mapBank,mapNum,isInBattle,isDone,executedStep,currentSteps,reward
LEFT,8,10,0,9,False,False,LEFT,1,0.9
DOWN,8,11,0,9,False,False,DOWN,2,1.7999999999999998
UP,8,10,0,9,False,False,UP,3,1.6999999999999997
RIGHT,9,10,0,9,False,False,RIGHT,4,2.5999999999999996
B,9,10,0,9,False,False,B,5,2.4999999999999996
DOWN,9,11,0,9,False,False,DOWN,6,3.3999999999999995
UP,9,10,0,9,False,False,UP,7,3.2999999999999994
UP,9,9,0,9,False,False,UP,8,4.199999999999999
UP,9,8,0,9,False,False,UP,9,5.1
DOWN,9,9,0,9,False,False,DOWN,10,5.0
UP,9,8,0,9,False,False,UP,11,4.9
RIGHT,10,8,0,9,False,False,RIGHT,12,5.800000000000001
UP,10,7,0,9,False,False,UP,13,6.700000000000001
DOWN,10,8,0,9,False,False,DOWN,14,6.600000000000001
B,10,8,0,9,False,False,B,15,6.500000000000002
B,10,8,0,9,False,False,B,16,6.400000000000002
B,10,8,0,9,False,False,B,17,6.3000000000000025
LEFT,9,8,0,9,False,False,LEFT,18,6.200000000000003
DOWN,9,9,0,9,False,False,DOWN,19,6.100000000000003
RIGHT,10,9,0,9,False,False,RIGHT,20,7.0000000000000036
RIGHT,11,9,0,9,False,False,RIGHT,21,7.900000000000004
RIGHT,12,9,0,9,False,False,RIGHT,22,8.800000000000004
RIGHT,13,9,0,9,False,False,RIGHT,23,9.700000000000005
B,13,9,0,9,False,False,B,24,9.600000000000005
RIGHT,14,9,0,9,False,False,RIGHT,25,10.500000000000005
A,14,9,0,9,False,False,A,26,10.400000000000006
UP,14,8,0,9,False,False,UP,27,11.300000000000006
LEFT,14,8,0,9,False,False,LEFT,28,11.200000000000006
DOWN,14,8,0,9,False,False,DOWN,29,11.100000000000007
UP,2,8,1,2,False,False,UP,30,12.000000000000007
A,2,8,1,2,False,False,A,31,11.900000000000007
LEFT,1,8,1,2,False,False,LEFT,32,12.800000000000008
B,1,8,1,2,False,False,B,33,12.700000000000008
LEFT,0,8,1,2,False,False,LEFT,34,13.600000000000009
UP,0,7,1,2,False,False,UP,35,14.500000000000009
LEFT,0,7,1,2,False,False,LEFT,36,14.40000000000001
A,0,7,1,2,False,False,A,37,14.30000000000001
LEFT,0,7,1,2,False,False,LEFT,38,14.20000000000001
A,0,7,1,2,False,False,A,39,14.10000000000001
RIGHT,1,7,1,2,False,False,RIGHT,40,15.00000000000001
RIGHT,2,7,1,2,False,False,RIGHT,41,15.900000000000011
LEFT,1,7,1,2,False,False,LEFT,42,15.800000000000011
RIGHT,2,7,1,2,False,False,RIGHT,43,15.700000000000012
A,2,7,1,2,False,False,A,44,15.600000000000012
LEFT,1,7,1,2,False,False,LEFT,45,15.500000000000012
A,1,7,1,2,False,False,A,46,15.400000000000013
B,1,7,1,2,False,False,B,47,15.300000000000013
RIGHT,2,7,1,2,False,False,RIGHT,48,15.200000000000014
RIGHT,3,7,1,2,False,False,RIGHT,49,16.100000000000012
DOWN,3,8,1,2,False,False,DOWN,50,17.00000000000001
DOWN,3,8,1,2,False,False,DOWN,51,16.90000000000001
B,3,8,1,2,False,False,B,52,16.800000000000008
A,3,8,1,2,False,False,A,53,16.700000000000006
B,3,8,1,2,False,False,B,54,16.600000000000005
LEFT,2,8,1,2,False,False,LEFT,55,16.500000000000004
LEFT,1,8,1,2,False,False,LEFT,56,16.400000000000002
UP,1,7,1,2,False,False,UP,57,16.3
DOWN,1,8,1,2,False,False,DOWN,58,16.2
RIGHT,2,8,1,2,False,False,RIGHT,59,16.099999999999998
DOWN,2,8,1,2,False,False,DOWN,60,15.999999999999998
A,14,8,0,9,False,False,A,61,15.899999999999999
RIGHT,14,9,0,9,False,False,RIGHT,62,15.799999999999999
A,14,9,0,9,False,False,A,63,15.7
RIGHT,15,9,0,9,False,False,RIGHT,64,16.599999999999998
