pos_x,pos_y,map_bank,map_num,in_battle,action,q_value
9,10,0,9,0,0,2.925751626436097
9,10,0,9,0,1,17.630602159007996
9,10,0,9,0,2,4.7925175074116675
9,10,0,9,0,3,9.099777133380766
9,10,0,9,0,4,9.826159555902489
9,10,0,9,0,5,3.4717967501950047
9,11,0,9,0,0,5.681191919760984
9,11,0,9,0,1,6.399076583455684
9,11,0,9,0,2,3.2503068709653755
9,11,0,9,0,3,28.940998490414092
9,11,0,9,0,4,1.7089850792430734
9,11,0,9,0,5,3.219625776578888
10,11,0,9,0,0,41.73301669004352
10,11,0,9,0,1,3.0292932127572563
10,11,0,9,0,2,8.156905084671173
10,11,0,9,0,3,3.8206043349273595
10,11,0,9,0,4,16.63124503070951
10,11,0,9,0,5,2.0561336800535415
11,11,0,9,0,0,38.506965547053255
11,11,0,9,0,1,7.587619664746262
11,11,0,9,0,2,3.630125016158396
11,11,0,9,0,3,-0.13923774221655894
11,11,0,9,0,4,3.1645257910684466
11,11,0,9,0,5,10.030709352583237
10,10,0,9,0,0,24.91135502610899
10,10,0,9,0,1,15.451681303913839
10,10,0,9,0,2,3.2747023072102053
10,10,0,9,0,3,27.88602494936649
10,10,0,9,0,4,13.13650779771101
10,10,0,9,0,5,25.097196837362173
11,10,0,9,0,0,77.15237931871576
11,10,0,9,0,1,29.41404251250525
11,10,0,9,0,2,27.036082493736885
11,10,0,9,0,3,55.29189133305444
11,10,0,9,0,4,36.4544276591236
11,10,0,9,0,5,30.447124795789254
10,9,0,9,0,0,46.01893919808277
10,9,0,9,0,1,14.958485007482864
10,9,0,9,0,2,21.658323996609944
10,9,0,9,0,3,16.97404636977802
10,9,0,9,0,4,11.401123011552802
10,9,0,9,0,5,22.799628750609926
11,9,0,9,0,0,66.11758406175329
11,9,0,9,0,1,69.21578243296446
11,9,0,9,0,2,30.069463296444802
11,9,0,9,0,3,80.78787092736205
11,9,0,9,0,4,52.01693290832196
11,9,0,9,0,5,92.79429641551071
11,8,0,9,0,0,44.49066110147716
11,8,0,9,0,1,79.71963608819391
11,8,0,9,0,2,18.26462279701316
11,8,0,9,0,3,19.860582884541856
11,8,0,9,0,4,40.74597722941376
11,8,0,9,0,5,49.242893239918544
11,7,0,9,0,0,40.53682688400431
11,7,0,9,0,1,51.21594008561278
11,7,0,9,0,2,33.93356035208615
11,7,0,9,0,3,75.28157055520781
11,7,0,9,0,4,38.76691984551818
11,7,0,9,0,5,50.37447882052848
12,7,0,9,0,0,72.98158603468084
12,7,0,9,0,1,70.05079864782748
12,7,0,9,0,2,88.29241081447611
12,7,0,9,0,3,86.75797406101576
12,7,0,9,0,4,121.58291186119503
12,7,0,9,0,5,76.18664463828028
12,6,0,9,0,0,41.921132657422405
12,6,0,9,0,1,75.68617820228538
12,6,0,9,0,2,28.195985523153542
12,6,0,9,0,3,22.972775656159605
12,6,0,9,0,4,37.7390758110388
12,6,0,9,0,5,110.58335402239115
11,6,0,9,0,0,10.407706619201555
11,6,0,9,0,1,61.5561285305791
